,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,17.3997898204404,17.8004294256281,21.065083860554,23.0460318374156,34.1732356769314,50.1000195500676,109.674153297944,208.145912027921,203.795943846632,154.749996516279,8.5866711278151,9.71443201586914,10.0000743965239,8.52046819021577,57.4813168438469,60.8446632266207,4.95613043011971,0,29.2266520571879,152.394269014455,15.9045625872862,19.1049890972699,40.8556715181765,55.3872957685477,12.5095227449322,15.5274864415523,17.2394452890461,8.75344048998468,2.95083637951338,2.62868864751102,12.1484748898009,8.50519382963926,7.74153455916973,5.45015280487211,7.77419497404474
S02,6.33404505386112,5.54462827604257,5.57116203310775,5.46002787860842,6.43848043968013,5.35607907040883,10.0586747307477,11.4255541701404,18.2464797256424,13.4864589803899,3.13700761616006,3.54437247163386,4.84348435178733,4.61388216675263,7.5264151705602,6.07843837486314,2.33662465901101,0,3.61543937573145,13.5340095362774,4.06312582232513,4.03523366807139,8.02140103521563,5.92585145329993,4.6494342297784,4.56792242111944,5.87555058722989,3.76206976869016,1.64762367778855,1.38980503575474,3.31921001847052,2.224925335458,3.22829658054271,3.20179735700094,3.04200517004176
S03,13.9991054279811,13.4200893731829,15.764517618073,14.8277173420877,20.3322695825398,20.8494512731222,43.6108338926464,55.0250436606722,120.905822801214,107.853155411638,8.32986618769097,6.90204028218732,8.91027741971313,7.79686641652859,34.535211786669,34.8286780811884,5.80931522558779,0,26.20387580645,87.881086057284,10.9885357381745,9.82448380889554,24.9077384580212,27.3238435588282,11.7764995208245,11.6503443153909,13.4595198295243,9.53589588471424,3.46564056451216,3.27589683613178,13.7794269766247,8.88537307571654,2.30217333286275,3.51240852270667,1.35065136394605
S04,17.2791102051472,17.5434063666431,18.2253215105459,19.2884789158522,21.7326500060417,29.150254944899,41.1146749447851,60.7515149668309,69.8192845355654,66.5732200951323,7.6650049042804,9.33289451116725,4.11639694284738,6.41277890760623,20.4134524462579,26.0422828827358,5.71757410621709,0,13.8871894366484,52.6143986333244,10.6204692477821,13.1056248287146,16.7643179725579,22.6706351183658,13.1088550366911,13.2499070225962,16.4574519032892,10.8393020994071,3.16708387442733,3.47052938786638,5.55801803844338,5.25881572761067,2.94440751854558,3.29699298532385,4.27470960845101
S05,11.8786762105697,11.4021556688598,12.8985298369191,11.2805656621636,16.7712874371872,14.1380954014503,22.1323002868001,29.4686021825741,27.0128511225007,25.4285086270945,5.70348517681742,6.04286042677019,5.21937591620371,5.57058542146412,14.9532601375695,15.3738926793785,4.82917289815221,0,8.61848727554934,23.6806157708634,7.54611167571349,7.96272939676289,13.5924906048549,13.8467512441327,8.50255881895971,8.08760855538687,11.0781663841131,7.2072770897382,2.40142442898128,2.35946080232367,5.42691645885853,4.10475901843942,2.08601405863304,1.79778248369967,5.72170408096847
S06,5.70158265376797,6.00826507063783,6.65449931960679,5.63138459960565,7.18897485829881,9.48112346105345,19.5427656963274,43.9022825484657,49.4803464372828,32.8480246673739,2.95520324383505,2.68501724215427,3.74341065145702,4.61669175705702,11.9997240855448,14.0054464567158,2.05563243712682,0,6.34421593327799,30.9292365849198,4.55235755244575,5.07713261194966,7.48467544097304,13.1510694896088,5.25073933730152,4.05195834943805,5.51737006439254,3.14082897210867,1.4531638507574,1.08725053743318,2.85764359996904,2.49794414425471,3.03186572500576,2.90202645487082,11.4957091629489
S07,16.720573856665,15.6513708129555,19.1108192551367,18.3664306955385,29.1871696225441,28.7800217327295,67.9540948870473,80.6568266933665,139.202809477841,159.871179372876,9.30208384523928,9.01805616525886,8.10161069103233,9.22228083086281,39.3354535683756,54.6370302317176,6.82063939830181,0,49.9031813694818,137.765430676064,14.3548816216196,13.183931620722,29.1887080671469,32.2635584682128,12.9297689678866,12.3293064753751,16.0426706452522,10.0489711828633,5.25903888392097,4.03173060975445,12.7692014858202,14.8263654304693,4.4062660434558,4.93809981479314,4.5906134203465
S08,14.9219390229765,14.3906450834698,14.5052981358546,14.2002224791848,16.1371018511545,15.9256211152771,36.5126749465331,46.128671059806,53.6140299318172,41.4604429196656,9.08040753398623,9.50982298636585,9.40523947406159,8.93776006203139,27.6322501718841,26.2302550280671,8.22972325565261,0,15.7013334241069,41.807679450408,10.9349035378029,10.6079169429944,18.4746480907306,17.6376552388332,12.5711925554544,12.1384302936019,14.3958632758408,10.8117718891487,5.55119981555225,5.13180768287173,10.3752205786503,9.20129262229695,6778.29611160722,1.59475459091738,4.45695442686528
S09,13.1045112647026,11.8580433218273,15.3883239442934,11.0790756731423,22.2713088852152,19.9761474433495,53.2482660487122,74.2677802721712,92.926970536744,83.9798103401105,6.80404108558125,5.1361286405413,5.50561769643899,4.41613135693138,17.3268500327212,19.6086471838031,4.70844498302047,0,10.4117706887948,79.8114718812437,10.6237919104956,7.37193706484793,17.7993470456791,18.3879824873271,9.11949293835302,7.4691516373447,11.3227486990621,7.45022856283131,2.66233138167583,2.00635332228091,4.37648339160863,4.37396481425987,4.60228045610717,5.14278998446706,8.99529308752737
S10,7.4518578889337,7.13763170918653,5.85016168446989,8.14109004465118,6.21446552852515,6.44283377814042,13.7767084880495,17.9653319598514,19.5554298147034,18.7381374519605,2.49699381430535,18.1788162253173,1.51843747910161,1.94378252678793,10.9833278077697,9.03397677660119,2.11038447841896,0,6.83614452679105,14.8251701439249,6.39050235545673,6.92896642973352,8.08117897987177,6.72371852800981,5.3537925872391,15.6999115565289,6.66196826593579,3.68334830055047,1.15332451168733,3.16625728780338,2.86848045903094,2.01822954933034,4.04440067676068,2.6366962747371,17.288642787359
