,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,28.5377399981406,29.2140193824603,36.5551738758527,31.0863259418585,57.1123883201098,68.0920863627196,152.477664197154,237.831262008739,250.651978286682,188.939907658882,11.6929776019228,10.6603475429776,12.9322753510059,8.72726758117578,70.0501947494051,71.2821185682492,4.91544743087065,0,34.2990469464681,202.018484805332,24.0515401954425,23.9232980637084,57.5864426826761,66.7593684751045,16.7582673776247,18.9796043772272,25.4944920282822,9.55021411064149,3.44835898135745,2.67186521126237,13.9212919243455,9.89553801698355,12.7206734057151,15.5620130536125,10.6062098897169
S02,49.7901781821549,64.529758432938,7.01467849830762,11.9956165217701,7.88853853596956,5.13448802084709,13.0512642632835,10.196249875552,21.3452432507607,15.3344422635102,4.9186628195936,7.43769807900017,9.28955633355347,5.21707708498353,12.4487276384964,5.68979275949969,4.27052996664771,0,4.40971057036522,16.8735695977263,4.96379903295338,4.90229394351298,13.9044754469174,5.67032586982092,15.7321961625435,24.8964501712834,50.0681151108127,18.5953843825243,1.91432373773919,1.76351022756689,5.87262968993539,2.32149947094751,36.6564295853256,41.4273125309336,1.57181264551167
S03,22.6704958210959,26.4947474404032,9.60015262201104,11.3019410977863,7.48698774260123,11.4113041008703,11.0714758779241,16.7569123627733,23.6065207707778,22.5426512983206,5.57585210490604,4.1407280708424,4.91449756875457,6.72940591649996,13.5881208062511,15.9257208971362,4.23175212250878,0,9.07291094769518,20.1567803883582,4.90837246690608,8.29109238490856,10.3092703403167,18.4264422703498,14.261422771726,19.5921252391051,21.7752377339168,10.1696374711038,1.9008684226842,2.02982775323632,8.60894009725259,5.41142676672863,10.7173637358782,12.0289083835072,303528.708279836
S04,160.192692205866,137.696299870663,47.2319785015028,47.4754087386105,47.2230441984294,63.497631903142,63.6824944414971,99.1352981074752,94.5433154618381,99.4552552479007,26.9720657603242,32.210973582989,7.28174458159468,12.14927727583,30.8400528432793,44.0757727144394,20.6968421687918,0,25.6174916484208,81.3758350640148,23.8198478958678,33.503339875289,29.5789122173666,43.5316470230896,82.3543474965898,60.8685944703675,103.033857867925,62.1025385549725,9.45621123222796,10.1912424311091,11.1058358118766,9.21475845383777,93.8341479527793,66.7064441892978,6.33260208674744
S05,51.929039133616,57.7334624635745,16.3719855409864,12.1832502370833,17.3834512041246,14.7285037122682,20.7771403297516,26.4672670570984,25.5115807310757,23.7324571759473,8.15478390356416,6.06321612610277,5.5631767041238,6.02569212939612,14.835286937253,15.5365017439681,6.90690698048199,0,9.32680812167437,22.7066865163048,7.90701634149956,7.34366056343921,13.2575233729338,13.5867304727855,20.1412789383642,17.1617960403586,42.7420820741006,14.7136993376095,3.15004007808179,2.38425843291078,6.07279163528899,4.93521249517353,35.4537726850602,48.6089664569454,2.77385103056857
S06,3.3272850660273,4.16793457073614,4.88835989097544,4.66868948684306,5.55357309071868,5.21113982455384,6.96141601899566,7.88510304533729,9.51484637668049,8.75952373038731,2.2796546576574,2.04537441905455,3.39873543550003,3.56181812378691,4.63181827427662,5.19916006811316,1.46608136322055,0,3.26718964526236,8.59538997310617,4.56408381259907,3.70897404764628,4.17297023522206,5.93509795017598,3.38661791953607,2.73873902676043,3.75618917012415,1.91985630655955,1.24273615947257,0.932809889229951,2.10502568098729,1.57639230331635,1.90626147813057,1.78413466202319,4.53317387676907
S07,18.9648449601998,17.9555465198201,18.9367499623267,17.468323506843,27.1714033516241,23.7674370915395,61.5804744674933,64.8138109007011,131.272585612506,149.639359423787,8.84969450477401,9.08662708714994,7.76266053576516,6.26653172217384,41.5866124362907,46.5609174987378,6.61026081585363,0,48.4494306239455,135.319130140345,16.5380522129636,11.2430339467949,27.840114470012,24.0676030728885,17.4967740453291,13.0743483466858,18.2986475583614,10.0859541382162,4.79444172898358,4.14579545712268,13.6128939614472,12.0679696773908,14.6651451448615,12.8835643858368,23.2642799606429
S08,61.9606489553119,49.7809436601582,14.7677740028409,8.55231999358955,6.51693234636585,8.63295420500359,12.6252726203995,16.7929169324451,16.2446179418595,15.4110596937525,6.85089116510937,4.97353263013199,2.95927479208457,2.46596351519703,9.43675017026133,9.25172304750585,4.68751991559485,0,6.16445609457382,14.9449771898237,5.02567816599469,3.68533330224824,6.56210486652482,6.46677379219847,26.2848533249505,15.5633066667354,40.8694967066387,14.6493652345478,1.88413498320229,1.43506905842882,3.68117574116267,2.92170531151068,60.2781353329873,46.8630612680999,10.6655533729888
S09,90.5366431900949,80.526048503411,14.8361488122284,17.7945529491446,14.07220300727,13.1686702964641,21.8258038931667,34.6778395167136,31.5222481070238,36.6094552468108,9.31458181787927,9.56687457833576,4.35664834479356,3.37823130427837,12.7551640558582,14.9748596503361,8.50288406810649,0,11.4802048275859,29.9130248571197,8.98722427846059,8.31072910198419,10.863028457867,11.3010192621521,22.4264585525576,23.4271740991225,70.5800765529461,21.201107373168,3.12042352200673,2.81348511904014,4.47876054298525,4.21744550768605,40.8171125544551,45.3147886355086,2.87096352418196
S10,5.90657160453127,5.38217660914896,6.99182009785674,8.6600393824963,12.6985218915393,6.74100824194663,20.8063230753746,24.0822463019423,33.6231952860269,34.5531344588108,4.74501048620305,10.3131735404431,1.72874647769319,2.26533145521415,12.40803313557,11.6082307958281,2.20705394638828,0,8.95558187178901,31.4066050640538,8.57940172518046,12.0927170430408,11.8878301143116,10.2920856212923,6.24841534824699,12.9211536806769,5.1391160438111,4.74174368411715,0.913409357775496,1.71954765030622,2.67070919937142,2.29975599280688,15.8916664265396,5.49681231075321,91.3882999845472
S11,15.0583121599828,14.0280298522624,25.6555023224576,18.4135507157754,39.6397138599988,23.6089265817025,51.9760925959312,32.721173118282,26.2871409496724,24.8443388253011,7.24620626002754,6.30430645127,11.8293677646488,6.45300999753019,16.587107132932,15.5846430473738,4.19367667760265,0,8.64454991757682,22.3455257021101,16.8282848773557,11.5940719198956,24.5812845124311,15.3697068243325,10.289845495597,10.8332665360833,13.0939447687337,6.947245043231,3.04009824749373,2.33111463102878,5.29865105681843,4.73159054509409,5.64155267264336,5.2332001743137,3.57826782908978
S12,18.3524614874721,22.6392624899828,9.76075810590448,11.4360590895095,10.8546556214822,11.2729224627318,15.3708805687956,15.5975041907293,35.1652777608439,35.2113282122346,4.66570633018448,5.44082860835711,2.72263347134442,3.36305134754817,8.82208039658702,8.43301604141476,4.61006907636386,0,6.3218055936758,30.859341334268,6.89285204234478,7.22859435071585,7.73146025431083,8.29143779159121,8.24729512243943,10.1448606482416,19.3171733703468,7.6747947191649,2.48968631348999,2.26343654785019,2.52006580361954,2.25851475035691,32.6342886265835,27.740501429394,7.79334544596978
S13,43.2235280161584,46.5733709622597,12.1838185960775,15.3812900118994,11.2646490975867,9.60045948610216,18.1273859711195,17.0214131583554,23.4568855625353,20.2529552476129,7.34382602698237,8.7022805927012,4.91634439433857,4.08826525116913,12.5496391374805,10.4969240395175,6.50844408854456,0,7.22059577749578,18.2719337866201,7.92480068195377,7.99906458634336,11.0027936583067,9.5878889159678,15.6173680762794,18.7244115490813,36.1151918203267,13.4894860422158,2.77020452164458,2.85172804864916,4.76010363771956,2.91107498424264,19.3225494274223,12.0146497547769,10.8977952358731
S14,154.699915982886,157.715376511568,56.8904207298272,58.8625195054075,49.6112313220299,49.8514604455022,87.4647020408582,86.870290982873,65.2877607835971,76.4476005505849,33.6483531898825,38.9448328054093,16.6841186933901,18.5968355690692,59.4169242609965,37.850219259153,30.5078587801185,0,28.6113976277773,52.4899062316569,35.5280897969485,35.9567156461775,48.3235912601974,41.1057796439098,63.7456749145673,70.9159829519049,129.870169034852,53.9172818811072,11.8507199090071,13.9040290298037,22.1620284053909,13.66858247546,162.401014574199,89.2355770929249,10.8215593414936
S15,63.0444506327537,75.0045820823477,29.0631019257403,31.6587005296221,33.0494801056622,25.4543243868796,91.9613612904412,98.9958231888649,135.747830608021,130.218123302978,15.8022894186086,19.6499928957651,17.0347020884208,9.87812462805082,72.3627865712276,66.1419573405241,18.8843043017599,0,44.5362696385978,109.918649327054,17.6234785389012,16.6026355467095,45.7714538233055,33.8613939322057,33.9169869331101,50.9451512996903,66.2003932490651,32.2529500542195,7.58188765712287,8.33915127269559,28.3189525920705,15.0381074278955,23.1385596769536,19.6175467832653,33.644937351971
S16,18.5380669090348,26.0821639025699,6.79706240364285,7.36892506051826,6.50523968405817,6.33567571727556,10.2696928569449,13.4139728952075,30.0983537630372,25.5738888330602,4.01773694437392,4.57815154176944,1.90580347196087,2.41858168381097,7.10249591089657,8.06279721069668,3.24096347619394,0,4.57973371905125,24.806277481125,4.35397829591215,5.6430910376649,5.48024030926877,6.45266740614838,8.30891284805387,12.0743030826237,19.5202769215528,8.24092186269538,1.38511110917485,1.12431171043173,1.99663381757194,2.16853528578135,11.9178237976681,18.8024739084143,6.98133242466684
