,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,597.674363257432,1678.67291715329,323.290193651435,142.273707264981,479.72214505365,334.552682491188,63.2694765203247,50.1175773530413,51.184851976895,38.9121317418302,79.5889495019543,31.3264928334977,18.3837156485995,10.063962998399,17.0573040124449,16.3763808353513,21.9546987742461,0,19.5999390163537,52.8541684277743,254.604905127685,36.2945209234134,38.2823587741031,31.2174606807749,948.794348858477,1056.57558533698,548.160144777263,38.6741787971383,7.71321070502867,8.22482673601768,6.1951129880711,4.99696444573251,1197.12661496288,1730.29378678603,81.226610269157
S02,4287.74090089674,5230.25301229762,270.658260514398,462.807968746709,88.8767956323101,49.5526761102769,91.9779008959636,91.3032569271449,150.288369150307,150.731396195444,168.502074004051,254.793604522326,18.6324297126806,14.846225412333,54.8184088129021,50.9254087842426,209.586105205003,0,44.2029234778844,158.109288482851,75.1389015053271,89.9357161712525,52.5705174128869,36.958340216297,1094.81044707891,1808.59152918563,4102.7804877313,1397.24006612467,36.6610936576408,28.8953842036279,20.3747111965355,16.3484071682746,2875.43665473159,3328.75417302379,5.75053623191916
S03,103.61139587259,137.333822761105,175.139717893154,84.4080955665706,28.4537302020015,22.3224723755744,18.5752794395826,67.5649613157102,25.2825885765891,25.8323709435323,106.637958963429,19.4757148574764,5.93075468171895,4.66840839901975,10.5989113221803,11.933812735599,13.8904331093394,0,9.94811578063072,25.2714712722349,20.3633110204038,15.4003593378386,12.6356802488846,12.848697933972,68.617030297148,97.3098866055541,90.8665839161648,138.217376094871,6.51891188448729,6.25966791910539,4.45650161194436,4.61438654005714,165.924588644878,50.0694110523958,7.56007463827585
S04,450.870054967719,271.701716900268,321.734396879849,210.504476902684,45.7658224492977,49.4644867269648,34.7071605964785,49.3746725090751,50.7724276034148,46.0228608771795,45.8029589567563,40.2786450351909,8.47871620877525,10.0386052404838,17.4719072783604,26.1326878881742,34.2536109030364,0,15.4268282594092,40.856384172712,42.6151207070044,46.71789001878,18.8192398944196,26.6994390646738,229.038601783856,132.206094153142,342.257178080322,149.868251342207,12.5808425380245,7.6901342184479,5.35796936603726,6.85316017645832,1387.13451565892,922.274457189782,5.84225599292626
S05,209.212227838897,178.898422130587,214.457639549731,175.457941164134,53.7914108285871,48.0648635586201,32.3690626980477,41.0396931131574,38.2657303526706,42.7879473900377,44.3298013715708,40.1739500077495,17.210252458787,12.0086379057017,17.438315081881,22.2484382459433,26.3195953147617,0,12.2684740627783,36.6066476632263,62.976550921242,51.6706124739252,25.0883062060978,24.0548194042427,114.140945507258,86.6546298183751,151.645396488461,61.8488394995208,12.5498611550504,9.35772271885344,4.71410680150968,8.55863256873109,114.762146616456,199.063363529636,25.3199037500228
S06,652.533397657978,671.435070806215,148.362932012333,65.794014288915,50.679128478559,32.4376175055027,38.2958364629172,34.9776588781766,44.0282959012784,37.3735500204935,68.500228090675,26.7176919339263,16.3353491696086,14.2758197274109,23.5356723555232,23.9649308011582,15.237443645342,0,19.5687372084102,39.0387420195065,984.566419904913,29.8587387289276,29.1537506427155,23.7717738888704,4139.08343133107,1271.51577391733,7109.88059523356,15.3828409830806,14.0131106163296,14.2976283501428,8.18671361341349,12.5792671125314,712.529930210032,536.968100648713,23.5638372769053
S07,267.65155433801,481.828949635944,510.650894304213,695.955973128236,145.809782945828,105.784627325782,104.221571345593,51.2485639325116,75.7793507150185,70.6155560751323,38.9737135971833,130.872594030742,36.68114134559,46.9650522687939,54.5135609346574,31.0463732714045,27.1520144739294,0,23.7041674219178,67.5481192601816,422.69178545791,142.981532078991,72.6291722258951,52.7083787029061,160.664102575057,376.104482570717,311.015773643947,82.3377920088136,46.6203980398686,24.5391910623479,28.5458152246368,10.9646497345065,1634.61929850606,1529.67479068371,1426.9352824173
S08,365.209809259431,162.738226182311,1606.91288434824,80.0673621975017,41.6425680834692,50.4652427018445,37.4382872066956,46.6384957273828,50.9573453360035,50.3286768151482,32.3148521731839,36.4185425637471,13.9589787101374,13.5889999188106,23.0474880540356,26.5887782456772,20.19157626534,0,19.2651008470449,46.6702394178445,53.6533874671777,70.1507752362475,23.8513450124068,29.30939430526,107.554164440944,72.6072915551473,137.154292153771,91.9085569560878,10.1453407513974,10.914215204318,8.26502714806655,8.92926082714066,787.547581473334,281.503347846349,44.2237245772305
S09,195.361258728229,208.64272530682,34.9372825269996,104.600747133357,32.1708963755063,26.9733482414981,44.3939311884396,43.1515798773878,50.630369363789,57.3089166460598,16.8084744469019,21.6734744624163,8.82308169769284,6.65466256745409,26.6460278147053,19.397098326446,30.3042642900459,0,15.1924875878019,55.8167068212591,19.7126594033012,24.7221758273702,25.8461090082174,19.5941686703779,50.4597835900834,164.999207448439,145.050589077334,43.9590453814425,8.47650328497267,8.75876618126424,7.66485319220265,6.16888940677396,209.523913359468,561.609456791731,193.744879022457
S10,333.013564769661,333.143641405907,120.916980701211,278.116348738962,58.4169110460948,56.1736776417857,68.2396654814109,430.20095512246,57.4770836179581,245.031669596278,60.1252523365596,1089.0424549222,18.8981239953595,20.4062017547131,44.7045104307054,30.5874124956659,28.1379078071843,0,35.7766724981355,383.43391809362,143.752682236984,332.452222508004,123.171155757235,162.179929437595,152.550132592062,932.713197079231,254.43723311583,71.2047167026903,10.7494804308726,38.3923312844428,8.20882065385865,7.99262371407125,264.59816771706,154.359684619459,45.1439918383868
