,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,1.74981333446872,4.52803144668821,2.41157964491424,2.49976888271677,4.63893210145454,3.40877918166659,2.08614566157509,1.97436591575954,1.66633762747823,1.68502861640352,1.21254254452319,1.19840360950097,2.93097850362436,0.578544420970334,1.15682174002723,0.854839527630128,0.481724404120864,0,0.540267646288676,1.5727554580977,3.78792203155655,1.87909469453476,1.94029370420556,1.32872126340747,1.53297246241073,2.48408901403071,1.92726261946468,0.677208592704148,0.359038238929417,0.344845338431593,0.413659565622635,0.259548412506509,2.72622988255712,2.88130200705401,3.21721678924762
S02,57.0453861015299,66.4715091567655,7.27469231859508,13.2069656324206,3.78706916248858,5.50508790474507,1.88812230566418,2.32077987467302,3.2238714161707,7.19719922337478,6.32626446208072,17.3106080891616,0.466843642824537,0.853818476904972,1.0760247274922,1.20103767621961,3.81366857799753,0,0.877466616152077,5.49728641753491,3.7762370553356,7.06057981750912,1.11165711067638,1.18265286723116,27.0608821222774,36.8688675647484,63.2269180134696,22.7814446217559,0.954475132262325,1.62558056148284,0.44579049075138,0.372119020895754,40.7951629133945,35.6830408440587,1.90718161021027
S03,36.366519940344,80.4465957317043,8.11886123470358,64.8879872959175,3.27434840171639,2.28228576711676,2.01347801150208,2.13663748461336,2.3605915734329,2.38642135611666,5.765311178944,5.6738664432891,0.671006212083586,1.75218713142653,1.47262124068591,1.30304168285246,3.98628267882695,0,1.02899934931538,2.34939150908584,2.37283560635251,55.9947014053503,1.46908078623769,1.4227670423945,34.0988594538659,95.161014812433,40.7840570011814,20.1619451316153,0.721875580687577,1.37667412135774,0.620864785266099,0.495732984344864,25.2012279702452,71.4484354267517,57017.5150195918
S04,539.425640986445,228.541662177219,37.4425737528274,24.1644635453747,38.9097249305234,73.915443757654,12.1299113613568,9.45122585087922,9.8518636592239,9.34326304618318,38.9890010349418,68.9751519348252,2.90629425195605,2.44141896302278,3.3022097997252,3.50691176885132,16.9076548164881,0,2.76379528158164,9.16647076176992,11.340188760222,24.072416677206,7.66889461987671,9.46136516557402,229.571332495014,98.9219528364552,134.700576531312,130.389589091926,7.56123784320223,8.95238710287954,1.08012770039665,1.20316427836438,343.190960186968,218.225986069974,3.06488270549433
S05,123.270061755295,110.699679681007,31.0896482667696,15.2306193073238,35.9968796711144,4.51330114875604,4.54517967442665,3.66873925479526,11.8272390062417,7.44260361087851,9.39847440307477,14.1340723327708,5.31530586660225,1.85406843119137,2.90034041462309,2.0706905917866,4.87244093620486,0,1.56076836061516,8.97264873291851,8.08136555147786,6.10082257426725,9.93973513252425,2.6490805799388,56.7311750671401,66.3769196995228,81.9114714280143,20.4324967756364,1.46063500246942,3.08653181518901,1.09020254585312,0.622121566004148,98.4001831526463,77.6458645389815,1.71789376320456
S06,4.5846414579661,12.6263367484811,10.8656497838435,12.8058197957758,8.86170161509694,1.3490273135371,1.72007814627349,1.2780056594158,1.83360669222992,2.4495082760533,5.06834473235429,1.84676147016088,2.84872877505866,0.451013258348443,0.930861214950834,0.685967215542141,0.814191020355082,0,0.419770121218845,2.02180417325971,21.2098977549403,1.34312513283418,3.51552530726867,0.768681070097083,17.0812504727284,3.84736536573715,4.11207000122133,1.88502387636535,0.566591493452822,0.336807611881816,0.445291688551572,0.27070039223568,19.5964096959584,20.6704774071872,3.10214447637707
S07,3.06016663922646,3.65937881161453,3.78809411742209,3.22927057395367,4.59649529120132,5.5647989624749,3.24446634141733,3.63085773241906,4.86964246514008,4.07610167068039,1.41891129047285,1.54601993772858,1.61448852580235,1.45506460903377,1.55265267745662,1.51593509975625,0.96054201563102,0,1.06355269655651,4.39211760112311,2.98285306184779,2.53997596092221,2.18830381072689,2.79990850827801,2.75340342279351,2.72636530912802,3.43960538797991,1.4439562375561,0.714086181144745,0.681862985264543,0.669581868535772,0.559670804339916,10.3713549022217,7.92766249126545,11.8083802709273
S08,59.1622639932668,49.4246194131116,11.0884328665571,3.60839547313464,3.54700773919013,12.6078068321217,6.53414872875372,6.81325268769096,4.71191205402154,8.20112705038355,5.92069916179963,4.51310359948945,0.645297152171622,0.714630582054838,1.09290612616727,1.75646283282706,2.64137613385393,0,0.830020069865847,5.75191954389595,2.68693362656415,1.41795859888595,1.41468389005936,3.44446519115255,23.599870130553,19.0620557115338,38.1897923258006,12.3424784703256,0.751931300292898,0.561510966063443,0.380564979411921,0.505382636529071,52.9326852622375,42.6253927684233,20.3941612146601
S09,40.1109236067214,35.7845602037928,5.21637389994406,3.86338430030661,0.885148265946347,0.919912859572048,1.24859834145873,1.30971922311496,2.12343291626532,2.47746350543864,2.15202572998271,1.73028987807259,0.306464415916176,0.346265580554867,0.634303594621171,0.612645328061737,1.78820973120482,0,0.475423352434245,2.38591047627507,1.11437187169756,1.03823560495978,0.641490720934398,0.573157252965767,10.4502144915249,6.74957078407998,29.9378195199569,6.70406893586227,0.449495283380088,0.387466972247766,0.267443479342449,0.233146759781598,19.5189394508371,26.952208696709,0.825641270804969
S10,18.1039042604891,5.18708011286455,6.65937095824473,6.19149451271523,4.27743828105371,2.47885243157594,4.07193285538952,5.24670172192008,3.41395216895685,4.16653820586933,4.35610605542139,4.73389514518317,0.530010220964847,0.68366935196287,1.15782583913773,0.923270762363256,0.972139075147818,0,0.706248874985312,4.66478259646326,4.41548934073101,6.02706153715189,4.20663769374225,3.15073225699475,18.5999780668769,6.03031774816015,4.13783642526615,2.93067392634296,0.498330571317639,0.633279316417013,0.285053599035991,0.265303161716818,17.4480318973128,3.46350530162811,6.31599953808686
