,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,13.6716994508895,20.0811641742244,12.3440799272657,14.2015170948716,14.1578082360504,16.4487917902959,34.2123714147782,45.7412622914516,40.2270474886099,28.9221945628138,5.33978651717961,6.11054044965633,4.33222538896945,3.13091936168865,13.3274791242699,12.1739133135868,4.69644634627503,0,6.73134661218563,29.9094063297229,8.81675795399709,8.27392264318714,13.0078519163841,13.4275544332149,8.83477131698329,14.32746447381,14.4437608251191,7.06993383103093,2.46134163100754,1.91846760308493,3.42666042281928,2.29018473936666,12.8096292231117,9.81685846123865,18.7621431385954
S02,50.1455417424481,60.1426057263791,26.457012472995,30.6773157129218,21.9281618044996,19.6287172731592,20.5568751489543,22.9130138790508,21.2739409395699,20.0472926419649,11.5759960843747,15.8673893760942,5.69372054283978,6.61078615731638,11.8361246273345,11.8920276321193,11.5212922660254,0,7.29118676658133,19.4003945373469,15.6558749905441,17.301764681747,14.0549091168207,13.9556826338492,23.5151446480565,33.0135092522191,51.6558606211013,26.3361381975126,4.96724009845336,4.44326243696193,4.7450220892052,4.20832303365026,11.9259690079099,16.6987734110862,2.45890949390519
S03,36.4613511201128,32.3344825190841,15.2079692612368,12.599805838699,8.40709083649412,7.58084296613487,8.37137768870146,8.36150968767641,8.96815593039451,8.48123663205099,5.6274092499434,4.62600733009122,2.30045588670008,2.01263173633073,4.37976919757746,4.12418620203697,3.08215401865431,0,3.12697516732531,8.1992234586764,6.55457091840106,5.75457078958288,5.3048955331114,5.01010486552221,15.8103699891447,20.0482304475923,32.0012647075204,10.8596332861856,1.37516707064327,1.45706192021382,1.65019971600529,1.41696785806536,14.2198581445587,9.64264792080894,1.68308739197087
S04,164.293386854169,152.40228964312,34.105454792804,32.8213564411701,25.0229925548232,25.1254063620375,27.8307892843636,32.9015835668519,33.2901335467813,35.7563410830959,22.6198897347901,22.6157866411661,4.96646960343675,5.41973654125686,12.6873470443059,14.193649408336,21.5388784349131,0,10.1148108642929,32.3159931875266,16.2684660401309,17.5192035418235,16.5196155679037,16.3618360237092,68.2101831407066,54.3080693216437,148.44208678796,63.7030266836031,7.81824756296195,6.86451190812462,4.24708925508847,4.06774973643147,123.150284902095,88.0969244048706,2.83898133040114
S05,19.979880802184,26.4201678524359,17.2090481599785,15.2521924510832,10.3257601713191,10.8504230272227,14.1830143637272,16.9286542323726,14.2520380986115,12.3246139567758,5.95019331865397,6.89210744898187,3.00681458260451,2.7146054170549,6.02114662541353,7.05399064356962,4.47549055705261,0,3.6286260172796,11.8885706587969,7.65446620216575,7.71914124095124,6.69118168386257,6.80326329682488,10.2766188177141,11.9292240552161,19.7223789305426,8.55285559726686,2.33721727685246,1.96354758805492,1.73539363107225,1.72111979131522,8.02568724127801,9.49718075941584,116.233155336843
S06,13.3413584747627,17.8535725431497,12.4846994134766,11.8637816939065,11.6906389653727,8.00896251395241,11.0721274605211,9.55063776486079,12.0787164795198,10.2339696378437,4.79345541646401,4.90911449690564,3.38605050326952,2.1215271679419,5.74474780786815,4.57526396506755,4.18522111455516,0,3.39606116654865,10.5401703442204,9.15349638361599,5.64882769458232,7.21887485779094,5.20197887122133,8.33147739046485,9.29887762105531,14.1911437414053,6.61138207896972,2.2700058590532,1.60945859774834,2.24387123635443,1.46493445146373,12.9146692078781,3.57383284131839,4.44000088608772
S07,19.6422954917909,27.0552618573757,22.8847042387204,28.5185651847428,19.3851631775953,14.5142908866082,21.3630542934663,16.691116259363,22.6668516234159,21.6403721739088,5.5849260890886,8.36209299650008,5.92559043412374,4.102593192349,12.5130767020653,9.64388463065111,8.01893593745692,0,8.49365068464675,20.7422526955545,7.43663761011635,10.4864398408463,14.2911886616913,10.4620033816352,6.94891161810717,16.6363561922316,19.6003770631054,11.220615133605,4.06581912735457,3.60253329447685,4.16783034620298,3.11098202965475,69.1577137716661,53.155682081929,6.65270364870708
S08,41.1290437315405,41.8710294358997,23.3926702607875,22.2725675702541,18.687191132904,16.0747304407191,25.7665211138484,28.8275846737128,25.1433432304674,22.5286193477528,14.3823065428654,12.5896047283743,5.69848821034022,5.01370391773619,13.479774579388,13.4495579186006,28.4636132848585,0,8.52141542306307,22.0919214514281,12.261041213922,11.0181786137942,14.0248455140309,13.2387871221096,30.2341711760448,23.6760204796446,44.2143611371293,45.8125879095015,7.49840855306765,4.58495229707821,4.48931080269172,4.93653617201809,68.6752065642747,16.8439632904298,8.23894868857166
S09,26.9107127246207,28.0681842025811,15.7824229523156,15.1872388557474,11.9975311642904,9.04841010350225,16.266369850806,16.3683931253155,16.0098124261256,15.7277029785796,6.21873243351114,6.11296380691857,3.58642181117951,2.41913985066381,7.14675612991107,5.71905935692909,5.12561004690958,0,4.25630796760575,15.654296376456,8.73771275838525,6.86142845708088,8.59961872223349,6.36472594172875,11.0508342967668,11.5861328147621,21.5152162472334,8.9125046604017,2.37701314026803,2.05871331213875,2.53685564312217,1.79594379065686,10.4799091952282,17.674886652159,4.33687213758659
S10,20.0030646551905,20.7718821705316,6.92701207537411,7.49042250430053,5.81435292925915,5.00480972837033,7.9327602351678,8.77798174276773,9.35735483470638,8.66821544912424,3.38611396517207,11.7133964623864,1.85762345384194,2.06296075562909,4.54946801113176,4.29822667163668,3.0883786207,0,3.04863806148912,8.50620501313241,4.326446969281,4.33988582107605,4.80556619948711,4.42512003447511,8.6170883188253,9.87156261747286,17.2648916129989,6.36295745534181,1.31254444845356,1.44553664889552,1.68441143399796,1.39892508330339,12.734249256688,9.69454690374111,8.06545493221802
S11,9.17945527515408,11.8018986808307,13.1506517477842,14.5126533607116,12.4417327068511,11.8333566874884,12.264337708785,12.2824857865854,12.3795354967984,12.0960237645748,5.26030239079365,6.6633121156715,3.76030046749082,3.75479555589367,7.06575323649453,6.33103487822634,4.22292354486433,0,3.79291346226465,11.3739685215824,7.86908710960304,8.636084215936,8.2391236740428,7.84273984487702,7.57133886972225,10.645409483127,10.1577706363365,6.93581766564201,2.06364674597277,1.90124147353505,2.59990176943653,2.41243319372219,7.83264366522909,5.9790461465998,2.09913046944721
S12,79.2386699676735,68.3715087298713,36.8303729788703,32.9144886993098,25.4050783628082,25.4840202689735,25.5773105836555,25.2892259175438,30.4852309080993,29.9418900972672,16.1187505003982,13.1060419469014,8.10390651399789,7.01439087196948,15.7523814416684,14.6976384203591,14.2273546345289,0,10.9030307839609,28.8712509026237,20.476752066432,16.5415304887177,19.2563864519602,18.1069364088941,35.3459060507396,26.4447760270529,69.7690503172734,26.4467595769903,7.47420366701213,6.12672340542733,6.21708295121406,5.27988227684334,64.2033285443902,55.2572720191458,2.26521310491887
S13,5.54497988974928,8.71521569677109,7.97457124023002,7.67003704413541,7.93132146496226,5.13893576531341,8.436585712893,6.15949200918178,8.17209041122295,7.32276204436089,2.59850007014981,3.16428703412432,2.39770271443833,1.40285536395024,4.54921261294459,2.97258693999229,2.62223572341896,0,2.51839201143362,7.28725253562109,4.36057368286347,3.5960813658006,5.26272661636937,3.51885893370387,3.93648009013949,4.99777538636128,5.81340168235748,3.63244950630203,1.33691894788795,1.13647600122944,1.74264456793589,0.93011746087044,8.56051029859959,3.85374804577642,10.8425395015498
