,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,17.4546458869207,19.2922907035986,13.4229102023879,11.9710045594674,14.6797163820895,14.9449175177225,34.497127679837,41.0257246559629,39.0910191598602,27.3675712570879,5.2290359055721,5.34129292863284,4.68937976263821,3.04851151988873,13.2255469402104,11.4357425845347,3.64691961021904,0,6.26212173046759,28.5333260172833,9.53959059980288,7.62243369910787,13.3753783945385,12.6759488654088,11.3879911761269,12.0154146562657,12.5410784808176,5.42283087953578,2.30755694468421,1.70508267920185,3.39284361190757,2.23748364320232,9.61025521857048,12.9731780401415,26.9518061190207
S02,48.5306670611572,53.2501989768638,27.779445356559,28.0911643331849,25.0509291846484,18.9326954762102,24.695587445704,23.5183243609968,23.0917605107659,21.2458326138426,12.3480850948896,13.3569412061909,6.5535975634156,6.54730957649031,13.4801885696632,13.1680823649793,10.0047893794253,0,7.91212675982697,20.7411664065974,17.2255646208294,15.4555686617851,16.7514354430339,14.0559387287604,24.6136501749959,28.3550856971312,45.2277060955793,23.6918635674291,5.45429778867169,4.38734332859841,4.94912739080226,4.73300658535896,14.3841970375154,14.4821318091902,5.09278778662225
S03,32.6814643816207,31.9612447550264,15.0610614634364,11.6115041247278,8.70076986050236,7.40989602273288,9.86650578486591,10.2438063012626,9.34599541236192,8.64396338269718,5.64189360747547,5.35811594880984,2.31326831117543,2.09146638170107,4.42475896254506,4.10398534429728,3.78183059011594,0,2.94042113301752,8.62184372145607,6.62977404434698,6.34182947184095,5.52765257427146,4.95874687373612,16.566903961434,20.3094801712796,28.8326016258289,11.4775319861695,1.4502531495218,1.63893044875842,1.5772316722047,1.37492976783502,10.4187934653088,12.3640939174969,1.52623268356491
S04,62.6505980144341,57.4405819283674,22.4289062691144,19.4397964832006,16.1942370670597,17.2304684873954,18.1450210253274,21.3286594568392,21.6139562467868,22.4905769043947,10.6804349239304,10.1995265414144,3.39959379634592,3.26159579151351,8.71115410408494,10.094524202132,7.87867327519629,0,6.97188368744065,20.1183353240851,10.3777851486772,10.7438807836021,10.7132438999227,10.4438192101788,31.8367766519786,20.6507076177302,44.2260375301353,21.6650338264456,3.70650620724284,3.23686139654488,2.88694772209391,2.96042540005118,47.6870125417106,42.8228252951111,4.24507674255027
S05,21.3157119567638,24.812994108595,16.2895791741598,12.2745934730765,10.7069923966627,9.36336873411988,14.5923402396469,17.5617603057902,15.4925468076173,14.0797551913687,6.05780048012058,6.07667406306106,2.77844327350659,2.30015807002611,6.69120089647355,7.33466284855893,4.76701890042818,0,4.14969970857362,13.4827404126943,7.28877596277247,6.49672818624336,7.18951815670152,6.79580239449315,11.0716742826489,10.688033572106,19.4115485173464,9.08670782354464,2.22931680739443,1.84079748188962,1.88312867476726,1.7452958909429,6.32448895508562,10.5410554915435,3.02314990016164
S06,8.78738584189952,9.02426452470866,14.1689664831268,11.2007699532913,11.2336828997083,8.73733263660604,11.338481320993,9.97311473369242,12.7371026390838,10.7832568637143,4.95946096243699,4.23656604276475,3.37903755153716,2.24032425483391,6.16615398714329,4.48568135452984,4.40536459827502,0,3.36792789967958,11.3421522777362,8.17930566858522,5.77293485125425,7.33434129863388,5.60202406820514,6.97169096727305,6.24144922679176,8.14247799445528,5.83567068804677,2.59534862691178,1.54542635220806,2.32757526028009,1.42790928525029,9.40628377339757,7.87889627891341,2.1384374683363
S07,75.0384834225102,79.1760338418006,41.6212835321507,66.2950333092398,17.0663322337253,13.3518880405965,19.8540157400083,14.2817857238666,19.6204607149601,18.2911378633667,6.66279080727535,15.0956431946849,5.222785474063,5.01513154964182,11.2881965097918,8.58926037701081,10.1440774240661,0,8.31854565446943,17.2220763857663,12.801659034877,12.4046265783188,13.0249674675249,9.08549866479065,36.0612088889991,43.2177762097052,64.2035719145953,21.1777280827283,3.63841542618091,4.45649117655524,4.17394095281866,2.91700750919168,205.29147671118,483.109616303741,28.8800303899571
S08,48.1019266439342,48.2109874174123,23.6357107060215,23.5077917086666,14.9114669916881,14.518201698729,20.8242813865834,27.6343612951801,21.3306278225613,19.8287519584756,14.5598065223234,12.1013798099017,4.59006923647237,4.39486206888321,10.6816449551344,11.6882058980757,23.910137547619,0,6.75738797763268,18.5346548302414,11.4231796541023,10.1694347200125,10.8118155566646,11.8416054343182,32.4151047486785,23.954282475112,50.3769889679137,40.4989362534918,6.47141736498355,4.04486131307614,3.5310202058099,4.01341447224441,121.431873637624,16.8448749753555,8.55312449983634
S09,41.0148797357952,31.8677105377747,16.3844882386877,14.1957166149438,12.6593922797501,10.3980037593301,17.5687707890532,20.3999640714424,18.0248805928679,17.9970957611049,7.90723661859346,7.07335784678058,3.93621161706407,2.75313891584503,8.26443152382601,7.13320862430601,6.83459745454261,0,5.01751902647287,17.8949793256917,8.80915545501128,7.5164227343933,9.32887186849972,7.72635575606697,15.6664362873938,13.1610082267026,31.2804318068055,13.2375175871019,2.83218520992438,2.28125528776188,2.88497830755405,2.20775766469395,10.8705162608395,20.9266228578543,4.76177932052925
S10,23.3857411462341,23.6118954728798,7.3694307815918,7.60900555177825,4.61981430451239,4.68010492384644,7.04129297121978,8.2386089829795,8.63956506465414,8.99217475394329,3.95829765008259,11.2630487822362,1.60330984272493,2.07777032456054,4.33296421872552,4.3461959205359,3.60509088279261,0,3.06234415363696,8.05027578936635,4.30192726703993,4.32537194207533,3.85112658209382,4.40167183032812,10.5273694083386,11.7817362876681,22.4338320636208,8.66781800421192,1.31804557152916,1.38826539101662,1.57950511362075,1.42399156585608,13.7001674158528,14.3835211243521,52.4900736110295
