,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,11.7500108089555,12.03162283287,8.16828210669133,8.54621079347463,13.3198544034425,13.8278132286219,29.4705610522799,34.2036193805012,33.5755165093443,24.9639115369166,4.47335994143659,4.22570671595504,3.99300380446101,2.80726118179788,11.5583472149642,10.6912948724702,4.00206277927048,0,6.29511807667324,26.1042447368848,7.02618503257543,6.5829844784665,12.0321069789509,11.6654101738992,6.70429589269692,6.29568857772395,10.1883625922901,5.48039962857158,2.31213203867493,1.60417346898889,3.30501282564356,2.35368121775216,37.7987634301806,18.4060073596087,9.27396946826431
S02,54.6280572123274,44.3265407409124,27.3864470745972,21.0016863441292,24.6490033355569,18.7073370175161,21.6351325173519,21.2901014202534,20.6382326909368,19.1482574006353,12.8620228277475,11.9323249432051,6.16873953212684,6.47861635071054,11.871877422228,11.7533799614565,10.6314991249759,0,7.72738836962518,19.0752434032157,17.331773788011,14.3673804076599,14.7789728573468,14.0695611592762,23.6967648457631,21.9413263266274,43.5690158202957,20.1551236935788,5.95374504468496,4.12815570948309,4.604252286136,4.29388217075006,24.4861560803549,27.681836262739,1.12024131455929
S03,52.1231267930603,50.1744977929795,15.6639706973249,14.961519113849,7.89330805904134,7.1634727802924,7.85037062692279,7.63696372460594,8.38992080561797,8.06542359111012,5.81378971081349,6.08337029529488,2.1191302714981,1.98370453599292,3.97861926416727,3.67513983290687,3.85971176146316,0,2.75092290644617,7.73318534839946,6.35721255376146,6.42805312609788,4.8856652915193,4.55022571592455,21.3732637514688,30.4187885603022,44.5138661973629,14.312723983445,1.26159949520004,1.62476225229915,1.50227330763571,1.21307077272012,28.8151992251147,12.3154848105408,0.706992568614725
S04,76.9314398296743,68.7355425508263,28.5524630639117,27.1462085200641,22.1917992037236,22.6381136185338,27.0238688294341,30.669259657813,31.388565345342,31.6242455383604,15.949388745692,17.3529914465151,4.65516156073401,5.28837151317237,13.5561500116855,14.3281725708585,13.7188369970167,0,9.67279179856446,28.5582106928978,14.5165540078966,16.3988780268614,16.4452011922521,16.003903853126,40.4247414918728,32.5984140896753,56.1020360566876,33.3866348338009,5.5529428549437,5.37236263110961,4.45245891090009,3.90796319834019,58.8949579959806,33.5679734442318,2.85326306211463
S05,318.168781537864,501.915850640222,35.0289791231942,45.5121135276104,15.5676033453918,14.2649085949359,20.144458323954,23.1130575809355,21.7303178176085,20.9750427787176,17.5691715624705,24.2624560988384,3.87579599319573,3.53901295709693,9.54278625230125,10.205861346893,19.5309060762627,0,6.2102069904671,20.3442498839872,11.9325180172496,12.7639376560329,10.2475384284435,9.68049024552118,73.5333569895997,95.8212326632159,312.531571604919,68.8097021380069,4.55821159804915,5.1231661571312,2.6841051231509,2.42094886508018,216.720168988866,464.128580219124,2.05647355874685
S06,12.8858873434623,12.129791236697,12.7573653002974,10.0971332333188,10.8060305009782,9.08748471382732,12.2401357793732,11.3737444048702,13.7020644256292,11.3060984425135,4.92830127242451,3.97273916022216,3.35026298731474,2.30944227379548,6.40536768593576,5.22030171704763,4.08463309078628,0,3.74895415391519,11.6284314033875,7.98220459644507,5.65602002460993,7.37140842677029,6.24082763706742,8.63246679472236,6.61632490734674,12.8725266195422,6.08280645337308,2.43188192153819,1.47709949922154,2.53126859112141,1.63645830102638,3.73126602758816,3.70828493461513,2.18046845357881
S07,56.360125507795,59.400551790393,34.7476485907717,42.8544442086896,21.5651466197673,13.3072369728493,20.5093340332005,14.0677076356106,19.5984258459886,18.9473889577933,7.30970578235971,15.342958923367,5.78394233201059,4.96938440045061,11.7124721037471,7.97502195429156,10.6123359152651,0,8.36887272062537,17.5347876040964,21.2362476405502,13.3869585389625,14.8406602526984,9.78446539371315,22.0762144565627,37.4168824340641,60.6966604589404,19.8370538539,3.33145354000833,4.61836076544422,4.15253703988673,2.68961876829735,155.032271261297,206.315099830693,45.4434999785026
S08,25.2169846088226,34.8789840016022,16.9517699741142,20.1328124017666,13.6366258124017,13.9323484194544,17.4709694715477,22.6720278150704,19.1184774603486,17.8125063154324,8.44198460555754,10.5392861057762,4.42689518049525,4.42113113676164,9.6050675175986,10.4835108248526,13.2988271515882,0,6.31792335686812,17.1548672309945,9.347901296629,10.4225005767915,10.043221409806,10.9186559451035,14.9805535472556,19.7649577520505,28.1008928047202,22.116614903218,3.76523421597926,3.50099590425329,3.3795217935562,3.51872275554635,103.024560716885,19.8775631830438,5.87398621883115
S09,21.4882726141919,17.8486374686125,16.4282761732013,13.3086899619824,14.2345930260107,11.3613508748541,18.6101931413519,21.1906929439955,18.5392012651826,18.5543674484303,6.37419436131685,5.44159715594072,4.11010147022758,2.79634014030541,8.33897492205483,7.0278342172771,4.91799341950751,0,4.75849409654185,17.8617762755742,9.02137525267823,6.93014579442426,9.81866526284746,8.04992522924131,9.94831393026719,8.83730154099372,14.66808355847,7.357293821218,2.54148880425288,2.13344331073398,2.95381702779971,2.09975314373742,11.9634182570504,26.564436670503,23.3052615286304
S10,10.408271784104,10.2482473265259,5.3204654571603,7.10784236708972,5.54624583814552,4.79005414802136,7.69958561409923,11.5489534787345,10.0278315994235,10.2666614374623,2.6478472293157,25.9638227343658,1.77818144965517,1.85982013225095,4.54133766125208,4.62550849111563,1.68222152270456,0,3.38760492896655,13.340908222083,6.01465034651885,5.71014693827665,6.30734272810572,5.42712449367597,6.19417896883083,12.7518628022379,8.69445345222033,3.59918016540967,1.00082627031021,1.34826216124207,1.6384153823735499,1.38244076742657,12.7366987943272,8.50611554978544,15.1024789066967
S11,12.1315230753426,13.5009228693135,16.4045213857508,15.2009554326726,14.39123603839,11.9293417006537,14.0280990645303,12.7684697782293,13.7033297497911,13.3042861083963,5.77787686393941,6.56301946439043,3.68357199536743,3.54447249570946,7.02162681252793,6.29084672631228,4.88394610769277,0,3.82388364435606,12.3663932702305,8.99312533347367,8.9121285636032,8.63883355651722,7.52511146505617,9.09290701520768,11.2815856396173,12.1150624172409,7.9336764884281,2.26056341548139,2.04884890129483,2.53663176809816,2.24889790834419,3.64144579982868,4.62502312892198,3.49786428356846
S12,29.6559757519061,36.6871986378774,20.2622191787831,24.9221351509903,24.3150845039052,21.9984227124598,24.4984006587003,22.2941714529639,29.2522125542604,27.8883750312613,10.5421382165738,13.4120948297896,7.0994274661146,5.95578898475491,14.2925031220778,12.0384520232586,15.953153323132,0,9.02565808535956,26.7028828035422,14.750203465375,14.2487961506342,17.4071338386301,16.3200652153927,16.0153607100643,21.6680335474835,33.3989105978525,20.1311230157114,6.49166549802691,7.43425250051619,5.42715932258065,4.27667079827278,102.832783212714,38.4712829147748,22.4833695118246
S13,66.9414700801699,80.4394940374363,8.7360573470995,12.7795974615863,10.4277516517269,5.76518562109246,11.979997195372,8.35420530087638,11.4895162943081,10.128902424661,4.3433017202958,6.87439723644342,2.73642271582416,1.55250690570411,6.37569699448744,4.00399405316061,6.44638058610631,0,3.47384793616218,10.446655845452,4.57373517441737,4.35367345514527,7.20566292676825,4.29594517980233,17.5589908186356,22.7667014863023,57.5016107860884,16.7081268622619,1.66456589002804,1.84257462510133,2.23735030050495,1.20572012246205,23.5157745119114,38.026121305123,8.3192561038991
S14,123.212811436921,137.599461281129,125.92918657226,106.519444993809,159.467906008866,105.387889478145,160.164804546726,117.4009064184,112.973524572772,114.208597789906,85.8740496378939,89.8355919215991,31.7528271715364,28.1373422833903,87.2490257791683,55.3033055352944,88.3223845581247,0,50.5315141646228,104.518083814774,89.8551245276553,71.2796239526982,117.605093414479,68.7113751728998,104.145869379056,111.548144653334,142.981181096224,126.89205033368,30.3762360247028,38.3005307300335,27.7609894387192,17.1511045896113,41.1398131229584,29.5345871658004,35.2712438406523
S15,57.0826174634425,43.6999069640255,14.6808682473214,8.53769771914363,13.1003808111269,10.5899069798259,19.6597835019599,20.3727532568202,19.1439035157814,20.036485084024,6.32592984167036,4.42523510269512,3.36600543694723,2.46778214636388,9.19458596483312,8.81111253453661,5.69986630345306,0,4.43887027756055,16.840013116135,7.67227005339418,5.19006437178748,10.1537430448498,8.24467695426439,19.353296791344,21.1208281098549,48.5120360516605,14.4216195800066,2.58141853605187,1.83438184660195,2.95885218242858,2.06014743839022,46.5825568103657,37.5558039174387,9.99368327415101
S16,33.6156126434557,31.9330445048093,20.7912622291925,16.8715150715061,14.8684610033018,11.8085012835885,14.9920130643246,14.7799979860199,15.9898652056862,14.726234853508,8.53478435421142,8.98519807431572,3.63331442810567,3.33099096963115,7.37675441845406,5.65706611275779,6.33955821955292,0,3.63762023061507,13.9859585703411,10.3538535122155,10.9624863677375,9.51209396909572,8.0350278684056,17.4358117439854,18.2079167730085,30.0958483298926,14.0512994284805,2.73320505574079,2.11568974560769,2.38869660787482,1.90983075976877,9.66571149210698,42.8895161712298,11.5227441922415
S17,14.7620951980583,12.6544106287747,17.4797604374829,14.4625790194769,13.9872766588819,11.1538720487771,14.1903458205326,11.7269209867554,14.2723961690302,12.0858894599817,6.13547776439574,6.52321577445012,5.15943130314593,4.55521148394227,9.0165192988929,6.48779030663853,4.51363181067269,0,5.34199512974189,12.4922296846406,11.2760273076265,8.63737602189981,9.35011677970125,7.66577983234127,11.1118135890905,9.37401925498971,23.6571236950161,6.10083639285035,3.45936203306243,3.14420102651252,4.09757685781593,3.39985000734863,7.52880007543086,4.71555906591093,92.2083335627519
S18,186.046530128486,202.940202548474,35.8105546190535,37.9216643113161,26.5527347346446,23.6711603911765,29.0343123370666,30.2604592788586,31.3711103471316,32.0593577039597,16.8709565549638,21.6700494635505,8.43740262672134,8.55319684107494,17.6590980037602,14.8495808952651,13.4111739344974,0,12.656325288067,29.8900777621886,19.0082459772934,16.4032990030462,18.9332934547657,17.5097074258743,43.6362839507926,55.2293950557349,118.251285185977,41.2006049397008,5.92902089322309,5.06624772688304,7.22882139695957,6.28406094052975,144.892653708833,95.5985900704824,2.57636356406678
S19,32.67047376183,45.6637368062065,23.8540396773216,22.0394783771862,37.2285211616001,24.676199257614,48.1069923200014,34.8393350287831,34.177410221193,30.7083099660015,10.8755739446209,11.7507406488669,8.50989414798595,5.6473551047471,20.0970560428456,16.145536430838,10.5598476970973,0,9.18253062443274,29.7873230018563,17.5131357756208,13.3312948325254,29.8956996252632,19.2087147222339,17.3172688276521,22.790887799983,34.1871684095321,18.0064525591901,4.12172872580302,4.32268446642744,6.47404601920522,4.58029231552784,8.23954095386359,14.9023137667341,32.7751873188368
S20,63.1321919761714,53.1170368663188,24.0550187918692,16.9404422045939,15.5567548542231,12.8405163819216,14.6710260892964,15.9377137504869,15.4454616044148,17.9356470903163,7.76642708004962,12.4576982109819,4.26762431647756,4.39023846486875,8.05338234608115,8.19658048535299,6.68495701085514,0,5.61121908055685,16.5799591358005,10.5625267258633,9.06732371034394,9.53666526082465,12.0954909515456,19.9929945253643,17.1109447368023,47.7679922396655,15.272987101133,2.9334439870878,2.70778787435231,3.52362822805167,2.69233897051116,33.4410047978948,10.7247148683736,4.30164302083329
