,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,6.66956028388756,3.47411295539588,6.3419639455868,6.45336025457145,27.5804576641883,9.76045683832542,53.4536961664045,61.4699873358964,61.9103728213753,62.8092905196735,7.40623831927855,9.37098438930764,22.619258952373,28.3531222769186,54.4162016131961,58.5789859002545,7.94939467319667,                      NaN,51.5986225359909,60.5625060513291,2.88014340295704,15.9552631257225,40.9597405361041,49.9162598374814,2.70706553369225,2.66855950334472,6.38099931417626,7.03047205378431,16.1427197332446,15.4518628353518,45.19620977767,44.3933836186904,0.779411201829683,1.04049876346931,10.322251987679
S02,8.87271131892875,9.2096745462562,2.81230177025772,5.08852206575556,8.93009040402046,6.17522532526437,14.514573411034,11.0435441612789,15.2919410273634,11.5679198844215,5.7660225848629,7.1722830591045,31.9557172428129,22.7768066928231,21.3564369918102,10.9713811665675,8.71254180261684,                      NaN,11.3384539109945,12.2838601933694,5.28823646466784,5.67039643163237,21.7023233286415,11.6355143647546,5.93085686503806,8.06334327449106,9.0236697049175,8.63808847780133,7.90059826313973,10.0191621372571,25.8013767422678,13.6704725026244,9.55852048267148,4.53331666252336,6.67545265734059
S03,9.75792086443284,6.45274767619378,6.69062487896729,4.8294554692124,13.7520054354994,18.5975790550837,20.6163741972919,19.150168020728,29.1180013475182,26.6106678452622,7.62747742983394,8.95101686713363,25.6095439581012,31.2166673154856,33.8465176414369,34.0322268585602,13.6884621297201,                      NaN,30.2047354504312,25.7888745390351,12.5224129932992,4.9220425206938,25.6683854910142,34.4276840347026,8.27770836447002,4.63026803184647,9.19658854876868,6.99018107996331,15.0271564826757,13.9438159766464,43.6322099567015,35.0765014613436,4.14286788295006,3.42945041429788,10.1231563310162
S04,8.22147832850417,15.6630209608646,6.80266298036724,9.38035471391437,24.6229928636811,20.2702306224956,43.6017416372772,48.7539022128126,45.3454443908563,48.9695021807398,15.141912588237,16.4191102859259,23.3757603936998,29.8867419981885,43.9573945430605,46.138843294779,21.3276548123734,                      NaN,43.9119713732,46.3006541023373,17.2785930510539,18.2020273512024,35.4290035914332,36.9544901121995,7.90015695516959,13.3759483306137,12.2315575075794,13.0443109182247,22.7100876354457,26.2192411892897,46.9333479249901,38.7901171518069,6.17182704987734,2.76808419781703,18.9591132102179
S05,8.29560459271462,5.89275771355088,5.24810853855871,6.39739215747113,11.8779852334925,14.8649906536744,22.2319333402765,24.9667400142848,22.4870126653628,19.4992121946497,8.74976296827969,8.90123498710696,20.3412816930162,24.9664656956659,30.6026620869685,25.0759357887505,13.7012844233973,                      NaN,25.7368706406249,20.5891087074887,7.92916634901936,10.5547118273628,23.4122652658913,22.8936682430165,6.17707891611049,6.27663715412211,7.41702188445672,9.37159770803346,13.6709877942351,13.4396580942454,39.5875792511327,27.8722541711785,6.30919846177637,3.95541572755763,5.00498732004837
S06,6.12843115263524,4.75888128757681,4.25969253007316,5.05416772165888,9.4927359404858,13.0615236969753,14.9264323541728,17.4737433299029,16.7845809566231,16.5763577493817,5.00764519352815,8.33713938122002,15.4997345263569,20.5488631007099,15.6765170783872,17.8788821299935,8.1745185600998,                      NaN,15.3977223385498,16.7341602648796,5.58114232114001,12.3002104452874,12.806497226727,19.3832137030854,3.57475700490644,4.76586787353645,6.71329240275692,7.53133182332595,8.63628154030741,8.85683767461662,14.6961920032763,13.5521150329117,1.64291861675415,1.12158212456106,11.8405889898578
S07,11.0189346083608,6.81888935349242,3.23738326296127,2.64080019433343,9.92739699891594,8.80493139512789,21.5153003343825,27.5191793118934,21.0399761067262,30.2463308829844,9.18124187635642,9.45555608059256,11.1374700248701,3.39918367238207,24.2820171029066,32.7316574731482,12.4994333149797,                      NaN,35.4825645890182,35.2493915379153,2.39223854682584,8.02063441574748,16.5725107928538,17.9368661011783,3.92714856671682,3.4470003469845,6.57838789897619,10.6263788790568,9.14970060450692,10.29120977906,24.495574392685,29.4655940595717,1.91093628343629,0.906233837432624,2.1259205850325
S08,3.58407480731893,3.66397757200566,4.04650970225114,8.75971165802475,12.3125923749326,10.0885924515013,16.5423664763206,16.7340127838608,17.3981362371734,17.5053122709979,6.50516401874281,8.75002720297669,17.3874328914159,18.2136777378483,23.0599333516514,19.9115687037485,8.11699405220484,                      NaN,17.7417884524643,17.5397889041122,9.61543438032043,10.768521969665,19.213064793511,15.2615895816814,3.95360404034071,5.10510721137535,3.64036763597948,4.54624523417627,10.126996940308,12.1184231127428,27.7169632582974,19.5284565494862,4.14402448917447,2.95037122723487,4.86815416751527
S09,6.30273245725408,6.48734432312043,6.46952819007748,6.98056062496015,18.396267922332,18.2681916482086,22.4989800204636,30.1482579366729,20.0543420162156,24.1131084587512,8.78603936741115,9.59528074623254,18.029328249911,17.1636230444505,21.4781143067307,26.5811255185177,8.75911901861798,                      NaN,24.5528495429753,20.9299812408349,10.6899007780553,8.90633865436271,20.7897634169641,23.221886607634,6.62046422287111,7.40824874689675,6.27733275111218,7.37273690571734,11.4658109127711,11.6447672998049,20.5533413585879,22.9231761417759,7.33894534693084,2.63430472015832,9.48786248575258
S10,1.77572435816464,2.06260526710456,2.17949237661385,0.616084915548251,2.37566645249283,2.17300288537944,9.15440809075963,1.23307798370552,12.465948898256,3.4735939707279,1.96195065591023,0.158345571898181,5.32796154187729,4.55227343141289,16.7814540503445,11.8621539061556,5.81654170387378,                      NaN,6.24504300966816,2.40736232221633,0.713198464441408,0.350713448613953,0.885909774879988,0.941207949374967,2.19110696004494,0.143191670780451,2.47721065348677,2.1527312751682,5.9607421231041,0.726115909866019,15.6117430848377,10.773805898598,0.635138558107155,0.605551976449914,4.26089019208085
