,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,3.4420631850186,2.21242467983143,1.42271788017794,1.70027309830173,7.57696177256155,3.22874433259295,5.17326317566323,3.90785306842475,4.16782622770469,3.856419723321,2.78460598222417,3.86926377534124,6.67089261247537,8.17359547418404,6.11201646582336,6.01386860468242,5.21777223338444,                      NaN,6.71580645061323,3.90795409045836,1.29235476953212,3.39155974452396,7.26515729224145,5.68260382655789,1.05517978177488,1.0564400492555,3.49654363791985,2.53992915175708,5.72918762456179,6.30957233284477,7.89661053786167,8.29491113147416,0.745175211845497,0.327770875396496,4.78534599376117
S02,10.47778050725,16.1928497568632,5.19421310114716,4.63836852770908,4.89801611393029,22.283026749421,4.90925974129296,4.01482881543834,4.84336928551893,6.01716318258087,6.78021624577724,8.18435118100719,8.23386964320321,12.7463223444946,5.4927856144158,5.61460205607701,6.75189425074817,                      NaN,4.53446048563382,5.32298659341339,5.13577905179755,5.30186365598375,5.57614404036392,6.04171104876821,9.89378217138443,10.3111364546184,11.7804824183877,9.02963723488413,12.1009394797153,11.9526353583566,4.65802053129883,5.01468659158484,5.66115988075023,13.2847683683884,13.7506907021197
S03,12.5629351636529,13.5790579763855,5.07901287669389,8.37752191123331,17.4327521210325,25.4299049828415,16.8889196927072,12.6421632803372,12.5771396954846,12.7506010627713,6.71887643313982,18.1413328555398,21.5170911618212,23.8139324394613,19.6131478925254,19.2171965776051,15.1689855593138,                      NaN,19.2841279125545,12.8926033278291,14.7356537804214,25.5066159785832,18.8265987348554,20.5233915625254,10.1244783679982,13.4463271503947,13.6312483039768,4.27581510992164,18.2292482210546,17.3463726165309,22.3948196296332,20.3182583225829,10.1060593857677,10.5840418803142,15.2629754014824
S04,31.162782150382,21.5197057602704,5.38302762558969,4.25255265306967,13.9260283883384,14.5563724957757,13.0842781511799,12.5989643432199,13.9428984916074,13.6222811910431,17.6750644057821,16.0267322026749,13.383852592855,11.4651264595176,15.0673675662117,13.7113653760695,13.3139565704093,                      NaN,13.304152140251,13.6891083543994,9.23372703801105,8.35597362366882,14.6695835644728,12.940905957364,28.1617453679227,15.6262873839539,20.6734582886343,22.5036271698667,14.4985389589506,12.1802931243494,14.0259935131498,14.3391535685848,13.1752835986194,6.16827763098118,21.4762775646855
S05,2.6752198109961,2.63854096362196,2.62249624118747,4.63278080240905,30.3807684056468,21.0625775552994,15.3284012353115,10.8283564883589,14.2980434949362,11.5433656806299,3.64624536879595,5.02249519691371,15.2545501599142,15.4184102260961,15.8046013426115,12.157940357467,3.7024677033795,                      NaN,11.1247333615997,12.5149080209214,6.10909086674792,9.17147986162424,24.0039236174915,13.3458589700522,2.71221896884064,3.49586808791821,2.80771598946855,3.08628443866369,5.29348388364045,6.90039026871107,18.1278143874926,11.8421265073024,3.1734915181478,2.18966103059475,12.0339495148568
S06,10.1520201342856,5.34653350719862,2.99036271581665,4.81495145689082,6.99022135328313,8.41962056837833,9.32979878761294,10.0535409686224,9.37410861865553,9.33655527935075,7.8584979433664,8.80913429968903,11.3836177251385,11.1144303505126,9.8228443386767,8.90632240456519,9.0260758234953,                      NaN,8.47809508902218,9.09821662116792,6.48611004556394,10.6876304770706,9.29776262068171,9.94115692021437,4.0521786601837,4.43980174389051,11.2965412323953,8.20732330418682,9.2969763433064,9.98472796543549,10.3885151428539,8.80993883313048,2.67788588258396,3.07568775883508,11.9244018271001
S07,2.95924376138775,3.28987435918016,5.56633942347029,2.60487176096421,17.2700219793858,15.0974488462678,13.8595575615927,15.8636561988853,14.0603659043441,12.4996487998405,17.4885486818482,7.91880415359425,21.8676361001628,19.3689437100183,17.5878381179049,19.1089002104826,10.3845937163065,                      NaN,19.5152348163108,13.2598029514367,11.3503973127271,10.2941323769009,15.5801433991862,18.8874980453439,6.01289671666379,3.36152836850856,3.06477130961761,5.49120527121562,23.5008329188981,15.6523694323385,23.7419916975245,23.5247220224648,1.04811520905047,0.801687334607747,7.82566088725041
S08,7.23234000045169,11.3694058174853,6.22473255918034,6.5184723413024,9.05507553180793,9.74784179052833,11.6793049296917,12.057482405758,19.0324705323154,18.0629762462362,7.96922766411138,10.7419115151584,10.6747919423195,9.0696180098183,11.7186919295915,10.6710946976373,3.75137381667168,                      NaN,9.93460793092546,18.194696139655,8.53187226150462,7.79597301451516,10.6553225081484,10.1315720582194,9.3231042024211,11.5314823553576,8.40841227090217,4.87189855265242,5.30459644759431,6.42787381133954,11.5344235062593,8.75583336478072,3.44203871828625,5.81932716193431,13.3798110354767
S09,16.5104760673074,18.1133949349137,20.3682533916987,8.25453688453952,7.91249357159115,15.7668680794757,6.98457147580761,6.11066302335783,6.23859076252063,8.21438250098952,15.9993977860325,12.4876480392549,11.9356778250665,12.5187641603918,9.88181149728305,8.45294393103797,9.56926644600409,                      NaN,8.98233135107698,7.44116882762998,10.8537868191364,11.2456500596244,9.39958841653991,9.42722313929837,21.002330422129,6.81958832010796,17.1805607809926,15.0968936572334,10.7376299573511,11.5643549302275,12.0259074480753,9.30382708960123,7.5034977524653,8.15936200468419,10.7546160466797
S10,9.56035846232352,3.46878093419339,8.44952741363441,3.60982210355899,11.5046225568007,5.19116838315253,11.6371175569415,4.01002611503442,7.29060622971666,4.64012540917767,12.0419282463872,0.487606368198721,13.2966796541255,5.34993263071732,8.49792533779329,6.60168751109664,6.92307829298246,                      NaN,5.57008305770945,3.98419840143081,3.09328857886232,0.902752174814225,11.225147819811,2.56330803395228,30.7580108975087,0.964399828077142,6.06849001264693,7.56902013482823,9.80701946960993,3.56069815725521,9.34642184112487,7.6859275647873,3.48209410863412,5.02618001383315,6.15943515280084
