,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,92.1112015232651,95.6720627436049,74.1464009175827,85.3850867538038,64.6446809055993,88.5281919277424,24.5131298512792,23.5748874949657,20.1476351023657,18.5830425624351,79.0080972835448,73.575377422856,63.5991619295423,36.5663108460134,23.2451852370145,21.6625977436633,85.26770294648,                      NaN,29.7985227228577,18.869918766279,92.7586312194101,66.8725493207349,33.9351586515889,28.982648345867,96.4183006247567,96.1947294241361,92.6946809338409,79.9876678667677,57.4906142376689,62.684433908442,30.037476363569,29.2061337983439,97.63869166671,97.4256161917611,75.1751099667192
S02,64.4308185816146,63.9648274190514,61.0311466651387,59.8541728614403,50.0806027791918,35.292635742434,53.9235399343918,53.4080999178417,49.3359017886682,54.07519070108,55.818796099363,39.4900783091924,55.5673974057234,41.1084764510984,56.3327924825462,55.4048974292324,63.83825955221,                      NaN,64.7483676844085,54.2205588075377,59.6750416016453,49.9600726472076,46.7218883516179,43.6625967243576,62.2716511842485,66.3128898018372,66.8770447097117,75.881035199438,61.7077448192561,53.3427934765908,59.54936124646,57.651571211729,44.5032688213227,47.2582592659649,41.4786049755769
S03,65.4083587035228,66.3673081746019,85.1887882383009,76.9092709635515,43.9565960776776,42.923488140858296,36.2058744007534,65.9813433885495,23.8253732131882,26.0302985926694,81.9016333477498,50.5557097633764,38.3791934772924,30.3491234734397,31.7736439937276,32.4229434681222,65.030794172587,                      NaN,37.6075122530196,25.5815425011109,55.7936377312811,33.6471624141918,38.688715012665,33.4631806401418,76.5774729563437,65.8000775078352,64.4462254538351,90.7960416403322,55.3052854506668,56.0080916377647,33.2372133684886,36.9378344908761,75.1885604898607,77.6600926407621,71.5720148427094
S04,61.9643654694633,60.2438096358691,75.4600563726938,76.2190915242868,36.5624950143582,39.6548931511242,29.471510176549,34.3569809644554,32.044556569358,31.7539376695494,53.2183333600615,34.2565631974558,41.7602076549196,45.1338721556193,31.1349205572507,35.6444581073311,54.1221789032287,                      NaN,37.6195341522364,33.4492162874195,59.4979534804181,52.3394100168549,31.2175360966688,39.9633490051004,59.0094006525722,48.0847976577422,84.2384578929257,53.0211268380052,49.570231116515,33.4708072499106,31.4177181536995,43.241464707838,73.3002651732529,86.968673320057,46.6233635140667
S05,44.3696752739312,44.6832607054717,66.5025631551095,56.4211964650778,19.1339985569134,32.6779031020297,35.4677656443766,29.6383195777287,27.0707636139622,33.1662790079458,46.8077843570602,55.2248794116797,36.0311882185177,32.954362228775,32.7977265219096,30.2309048780699,46.7158822254465,                      NaN,36.0375527873675,30.5106046117887,41.6624420114956,44.6418333965923,26.8711889588086,31.282978562539,47.7034954912215,51.1007009635861,44.8814549213881,47.0300819142973,41.504965932604,44.0989769493957,33.7631764181285,30.985495168208,69.5933417203706,59.7613442807889,55.7048950401205
S06,69.1257451352283,83.4856361653153,79.6920365120529,74.7954642868507,53.2169075837734,60.8851530018775,51.0846985754872,40.6219388400259,43.4864865632675,47.0231860385631,53.687246957729,68.4225150042841,46.3515497338065,54.5430834546918,50.6952061306909,54.7307966769906,65.3187215076976,                      NaN,59.5581324659899,48.2539509081516,78.924260513728,67.9449207493603,50.2747270613695,49.7388074767148,81.818850587073,80.0956832140991,70.9931522020263,70.8730504750056,58.6151532821754,63.7830108736624,54.8571188421094,61.1407126056453,90.1655193343351,70.7715487929917,51.2506278275948
S07,93.6013883504642,87.746139175302,90.3498039465724,91.0858079781746,72.8521317208672,73.8458222381639,64.9494229945185,43.1302438416988,53.3466578334881,52.7906538660583,73.5517405073582,83.433101443571,56.4415845083613,96.4838094314555,46.3872204222597,43.3794175094711,78.3448065379729,                      NaN,48.0366763102059,39.8962640714663,70.0863263501823,78.7922972812615,49.7717287468151,54.2467277852066,87.9168333700929,92.21010457016,87.4217564471156,83.2022656112903,89.6387152259143,79.032715768,50.0634019900288,50.3064647658362,91.1222369443081,97.0618500536124,70.7540928993989
S08,58.914518291414,61.2212892956315,89.6946183239305,77.7085998513723,40.688786624496,36.975763957539,27.9658018227772,27.6677404826608,20.9924560499866,23.1628948694544,47.7031231316729,48.1907153054967,45.0931699014944,37.349065308548,31.9702552676473,32.7322773164388,40.5779182193283,                      NaN,38.8903936404669,22.5753063145782,47.0595886935774,47.8277992965882,36.3200260971479,31.436446997117,51.9619314971353,64.6160478185558,54.6982013132716,71.158165245052,41.8702301571612,45.2699632854126,37.4942260201772,37.8449811708469,78.523286106331,67.1290291385468,49.8621984130479
S09,48.0090588827663,48.672816991288,41.7397438299828,52.2755812792187,27.207224559605,34.1755746185768,33.9525343177937,31.2477337096167,31.1426956804145,35.6717678722665,45.9495800550921,51.4747219482642,43.3795527688056,47.0648430738333,41.791951002844,40.6829570846363,55.3392546170751,                      NaN,43.5662286693257,34.3150664977834,48.4031639561171,52.065251687827,41.0266383091891,40.7095317653349,45.8652294310276,50.2337283491999,46.8532504665716,48.9365406459887,55.2841530597368,53.0802075463603,44.4366586530624,45.8541782557907,63.2566986498219,57.5386630720081,52.9160634447171
S10,70.8365415494476,73.0681415377035,83.1021619256766,95.8031575216013,85.9293845328363,85.2765981134339,57.6637719429682,90.1257568037734,55.0818803460898,74.3295983677096,80.6559730734662,98.6059556543258,78.5250961600232,83.4911215391376,42.6432915136804,50.1822092065146,75.1678371945022,                      NaN,78.3778083210739,83.2397641798189,96.1242690151452,97.7908625997202,90.3697700331133,92.7309380222962,68.7400036513914,97.6536871342615,70.755439773356,79.5876881070685,72.847410616591,96.0566301721796,43.0499778277149,65.1595826116341,84.4548500975569,82.9009726364028,85.2399840837643
S11,69.4556417813306,74.4123071773708,95.8509988950163,96.2223863013715,76.7732722500106,57.003766070528,42.3120886207721,40.9126193039543,43.3828003222243,41.302537584586,82.500137946909,86.9394723450468,48.7081396920854,47.0244033983577,46.3903715830366,41.944498409606,80.8656039432336,                      NaN,42.6151583301293,44.5181540908586,63.8142303257627,60.1367658765811,48.5284287527258,49.4351663678148,90.8785547724764,89.2748525725108,82.626039022774,90.13745948877,68.0376902812447,65.8391034029421,40.6489549160817,54.0238636413013,97.065202934061,92.5024576205278,64.6291573035007
S12,64.4873521844363,65.6589653394389,82.2893518746965,84.7368084217759,52.6489666201575,60.1605115003524,37.7718778221954,41.3027242083282,34.8935744972041,32.7884385358119,64.9051300615384,65.8562897825314,52.628490342332,53.3895980153757,37.3596415144568,39.5857060088701,56.0018787614524,                      NaN,38.4205759519893,34.742643198371,69.5055430649411,72.4328600348675,48.806017013801,56.9790146619401,66.2183062598579,63.0490938657644,62.8485699812129,61.2605988987884,51.1185135880259,53.7603653203875,36.4720588025806,41.6201379165239,77.7483763489065,80.1582855540004,56.9232999354063
S13,65.8620463696817,77.570202332467,54.2755901777659,72.5025274133915,46.0991011183612,29.8730380292904,23.3308776144918,18.1234378676874,17.4672758298815,17.567997491336,36.6551743905602,57.7580195265029,39.8037677640851,34.2784132590496,22.9685374477955,18.92509333827,47.8895658558889,                      NaN,30.9197684938059,21.1942569232557,42.8459532609509,50.913399716313,32.8971921773864,22.100893511449,50.4522014620805,71.930964394215,71.8313880485285,58.1435926077628,40.1067478721219,47.4017037728634,30.10610696434,23.3263259804457,94.8536426273931,90.3121043699153,67.952878848508
S14,34.8762337341705,38.423996360318,29.9329393744017,36.8035113364731,27.5234857908891,30.2780174752805,20.2550804959829,21.7997904363564,19.012779018062,18.7142970796541,34.513280312072,37.8244771008253,22.4643613074408,29.2555970734415,21.2144543756156,18.6040310647781,37.1255451473997,                      NaN,19.2517333853246,20.0370874908738,26.6487062995379,31.9962781433066,22.5496911260242,25.2191974357236,37.6758335110851,39.2691805931872,35.5914718394414,38.4014331915859,32.3554253644805,39.0333135335445,20.4196100978479,17.7928809407871,49.5312492434515,67.2176835698151,66.7428862346565
S15,68.6912344469361,56.4232927637746,49.0621937786951,50.7932933611004,36.4861564698481,41.788552288405,27.1306419260342,33.7545262752566,23.0728964918823,24.6907832109165,40.6321030191045,44.7116805041262,33.0508593195082,35.9447996041455,28.971997072609,28.5839078774816,40.5654575726768,                      NaN,28.5630647821702,24.0209752585212,38.8111234685711,43.3094827685798,30.7728988117805,34.9173970733404,69.359573107669,75.3424327243789,67.4601803472918,70.5267414538936,37.2211125499738,39.0077982085342,31.1470469241921,27.7713624059559,96.9821091154135,86.781295187554,65.3532351486473
S16,67.4448868311628,65.2413127589193,59.5479531250359,58.9448532666571,52.6556922046673,51.4583164803002,36.97097388945,32.7286590409945,29.1315531623112,32.5697972755937,63.5389971009943,55.2908273074561,47.2736972982524,44.3603545617048,44.636623478705,43.8545687353075,62.881113991714,                      NaN,57.1046736208223,34.2081187647046,60.0799688831832,67.3084962283028,43.7250768602646,51.7672692411462,66.2285260100234,65.8108629331215,66.6646282664491,62.9271980119619,61.3157864009803,57.1293473180515,51.7967010762188,53.2919060814669,68.6408455799573,76.8884580963647,62.8013320319668
S17,56.6275077976061,56.2082696586706,50.3457673121583,54.9556899006026,34.4667681550133,31.6989251732344,30.0079468573967,27.1295545750945,23.0731214608991,24.2675868179032,31.7201631419014,42.7196991268892,46.226511738583,49.8109536891697,33.0388496695028,31.3138223785827,59.2638131207077,                      NaN,38.6206791712507,25.0822465849823,41.1362869793391,49.1223639132641,38.5655029829446,37.0208038789524,18.7075104513166,47.5665844660809,88.2244979347578,49.2588103034042,48.1183370944019,51.7590877303267,43.8763623442332,42.8251405493365,51.4750309610209,64.8644320364991,67.2822323357398
S18,70.6666253543835,69.2135361899523,67.4273301548376,64.7102405812633,50.8425732247339,44.8984060899425,35.0878131750462,28.0115297812502,35.8395824761804,33.6072465739978,63.8001496030578,63.6387413351272,32.4856794184678,24.4476658023857,32.4896071220015,26.5891896406433,63.7942773163031,                      NaN,38.4469431017697,39.768031205776,53.9203832401,52.202879584055,30.893803006323,26.9568332973007,68.409287014782,68.5021429890183,69.7895351144298,68.3440474669951,56.9899128818605,53.6323544921927,30.034311113765,26.2598305098919,73.0242797900641,73.6784497379484,67.2068875339643
