,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,91.5721608990417,96.4845607088541,77.2590113659473,78.1345694495425,72.612731836366,85.7479327649643,26.2356493914162,22.0282219721357,20.610775297776,18.3156767747384,77.2376323547122,66.3628631025752,50.5300858316639,37.1850578301235,23.7566370943348,23.5281042040822,82.1750166375727,                      NaN,32.9789655675547,19.2197224558343,92.9294888112517,57.0824228169115,31.5626183377856,26.8030886495368,96.1423642342033,96.9725343821989,94.4232686079242,78.5771977064277,57.0307515657075,59.7750118794523,31.2002664252209,35.2215494339457,97.6728897434625,97.1712290740955,74.7496409862385
S02,52.9526971124895,56.2584941876325,50.5329491566493,56.9289678014582,55.4577484778261,58.1070479350882,51.9693420777965,60.2701015873754,51.0320107660264,56.7477920653038,44.0679920132718,27.7220040687977,52.0582398364777,44.149912721411,53.6957696085361,56.3877136706808,58.0154425325578,                      NaN,62.080442159981,56.9355298959339,49.2669697069426,47.4195127097526,53.1225252667703,57.8196404904926,48.426902600917,56.6808367849939,58.2549736462231,61.6085187067249,55.0002927227249,41.8566720532286,56.6972061012475,56.9054688758824,50.5918556325271,48.7666816426776,44.9562851805513
S03,57.0220145044674,47.4910061052586,80.077798105337,43.4216822770938,48.527144501222,35.4232810671207,37.086680930664,62.7607299041051,23.2931586904362,25.2353670130552,81.3172371843788,40.8091733796123,36.1558568102565,28.7478949858034,32.7077804822306,30.3624286221037,55.7257565824001,                      NaN,35.962097839104,26.068364247974,50.4900204416908,16.6710967369132,38.4899919911742,31.2984587881399,56.6538172151241,36.0274718433424,53.5549159710875,72.3852978433588,50.6549056003878,50.2698750039288,33.9810612338135,34.9692042609657,64.6473455861072,42.2714457228414,44.6437819813301
S04,50.6108702191938,52.7387860726555,52.2371792804463,50.8454273916329,20.2326382922147,16.8121870433281,21.7216495953269,24.2210199898123,20.9514233528536,20.1826577014575,33.5960387807314,20.9975737412886,28.3805064308928,27.7758247875898,24.1573274268708,24.8098495836225,41.5690377014895,                      NaN,26.8684173046864,21.0207290294736,38.1692330878458,26.0156648064177,24.0448344331958,24.7019750777303,38.3862252990983,37.3878182081746,57.9292214818254,44.6713286702285,31.9230151519064,23.0300511021379,25.4120663973891,30.8228595466716,71.1520252324976,82.9276740409407,46.4211608925097
S05,42.5194965575591,43.1666814977401,55.8131948281252,47.825900952241,39.0045633673327,23.145856423855,35.8375247742264,33.1555062585879,30.4490604289243,32.7279860502795,45.96728782025,45.5780253770973,35.6290133241276,27.6228898589862,33.6210788284918,33.2847102106333,45.91430912922,                      NaN,35.4970851386912,32.0670232121677,36.6482891662587,31.630982696637,38.7251101650114,30.0078224900627,44.6768493371346,44.7774832827416,42.7497661217851,45.5239508372301,40.4309893424034,40.2474080263448,34.1402308814824,33.3036539056997,50.1633950770531,53.3770127704923,64.1578303247347
S06,66.1979044377906,86.7253957664976,86.5446599426271,70.5923670131009,69.2267061904078,46.809504260339,51.370050812056,46.6942816046101,46.001094721323,47.6852031776576,70.4676734861404,67.0068308391527,53.0872754620704,51.0861805927105,49.7175618488192,57.9068819103271,60.5336137191956,                      NaN,60.1636940920749,49.4249223081202,64.137302228177,42.7445080578866,51.6877465746559,46.6374478529734,90.516969685798,86.7082664056348,63.9327909255494,71.0688802530158,63.0361304643972,60.8035304501477,64.4854867524505,62.8884327154767,93.5926704140911,89.0397997637404,80.5714410300793
S07,91.5268877006155,87.2249176773776,88.2675569982279,90.6037164865687,60.6121466998808,64.3087339368099,60.3871167277447,48.1674208502495,61.0677678409422,43.4413218163262,77.3678911290644,82.2008246390798,57.1001679687582,66.6663012099104,55.1933910922012,47.1347068474841,84.6896806897351,                      NaN,50.0883053596818,49.9827588697367,82.8073438171956,77.5618000546061,61.252237480392,55.1736574936091,89.2404033717025,91.6244334437639,89.8378540308056,89.3007977370624,69.6722592183861,70.0377365685965,60.6871101100606,54.3955743358876,91.7241624151747,95.64697492148,73.8764229100773
S08,60.133917218083,60.0903497514269,90.0724000465556,80.4699866978886,56.6614955132814,56.4132963305993,35.9863025632931,34.1617215517503,25.3439347009007,27.9112493962952,52.9962180517471,54.8047687943381,58.604364992534,53.9613480982894,40.0490273134507,39.0930203910497,50.5537528965183,                      NaN,48.4589396858979,27.7649546862161,57.4592196508389,56.1491886146776,49.4047654950854,43.7314467733328,54.5647935873255,59.3707234245275,62.9972296325789,58.0307904465055,61.1556754504063,67.669084252397,53.4672022763876,51.0212973385729,87.8515736347987,65.7483665860113,49.7965524050736
S09,61.0252882682153,58.3733709791769,50.6309600949136,52.6964538093032,42.2344449539484,35.7397346547884,35.6733934757941,31.1692073128495,31.6680394312671,34.6371617295224,53.1940338690888,50.2050783151432,47.0774785421013,43.5317818689438,40.5220577076139,36.7425526416093,57.9635738195236,                      NaN,40.5048671096554,35.609832625643,51.6243624515338,55.264394249178,44.0019950421911,37.9221836633928,53.2222339815277,58.3522441010188,56.7698292022725,56.3601296162147,55.742013831585,53.1274852072174,42.7969383611239,42.5303256624549,71.8145056503655,65.3877771224221,54.2529000352112
S10,67.9321481406173,76.6950017336734,81.7075948278419,94.2226571595299,90.2116356496076,88.557562636644,64.7670445531804,87.8038024774292,46.5630111808479,72.2143863106393,81.05105589116,97.4859311934042,68.0727621342593,87.6927319554794,45.3880980417639,51.4198637951286,80.1311515574765,                      NaN,71.4550142158472,79.2810014093181,93.7570444540767,97.4786467030627,92.2087618653632,92.779547235079,67.0651063896601,95.6679226026627,74.3125991413526,86.1822317200588,74.6253176377864,94.3690997763176,45.0429093196741,64.2410810043926,86.8309207111582,91.8449974173174,69.2352591366379
