,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,89.7666581706518,95.3269023772016,80.4611202496901,87.6809761763811,50.1376619156037,90.8705783141662,24.8476635983999,27.505614431531,22.5430678953188,19.9967235116397,86.898028635453,81.3863656380585,74.9790040866771,39.6876657802547,24.5228983397227,22.9507786232278,85.7618735008755,                      NaN,29.8178658808352,21.4860755634986,94.3079768473654,67.8084531288599,41.6244572772412,36.6311937778393,96.1142253989039,96.4090287693371,91.2034841784029,81.5868759627505,56.3614419743735,64.3060401479462,29.2705696826844,29.2589821776825,97.0311178975284,97.5896757706362,75.6696953097797
S02,51.4725404068403,49.0599080562197,67.6584291663874,63.2482314625764,60.0492258926759,47.7778086486948,54.9943680099005,51.5297227381546,50.8675512986683,54.0525934915874,47.5092533028342,36.0515488771662,58.9364844282725,45.8838077441994,56.3697400295272,56.5197319013738,58.9191803931237,                      NaN,62.8582786548095,55.2046925611104,60.3916104405046,53.5755815000026,58.6808744847278,55.809658714634,50.8380876834738,45.6085073485418,52.8649099716735,52.0062633502174,60.3473474939629,52.22146940223,58.4306977048415,56.4933607342036,27.564705190472,54.8439739391939,58.7998800172271
S03,57.1017061023159,59.0611078251485,94.4603008669834,90.6293875509089,50.133437693242,55.1774641292874,49.8419354448123,78.2387624597368,38.4651763574526,42.1696294204849,91.3729058672042,65.7137691559427,51.5515215241988,46.9959258874544,43.6900868034715,44.6718836361668,56.2797653445726,                      NaN,46.599430026242,42.3406379563121,70.1774734710484,58.7476548740175,51.4108594084303,48.7238049087655,82.0615152954998,79.8758774730164,56.490233909319,90.1055789433763,54.5733638254783,57.8704130276454,43.5241437411693,48.0838454808175,75.0903577791609,81.6015343380922,70.6776610560443
S04,40.0811797091099,35.9770302141222,73.7828176175946,75.8730965508443,36.7923352223186,28.759856496693,21.8005955021376,22.4899141585258,19.1761023673045,18.4659518892087,42.628002745775,35.353764117876,42.3966057972905,39.5864754957253,22.4494203422594,22.2442967506455,30.845805678564,                      NaN,22.8968740722878,18.9407288617165,57.9144802022272,55.653550449286,29.1212355561403,28.2409222221144,43.1675436896789,43.846961039471,42.7395251044314,31.1229228644951,36.368301127876,33.4491158414316,24.3249041318022,28.7042523100455,69.433758088485,90.0329709246011,47.6644670401812
S05,81.7479017386136,81.1034514735048,79.1052507028459,74.0830694671498,22.4564928843975,39.3441376015483,43.595449878741,42.4178406039318,42.3897754031442,50.3100456618598,78.094597839712,76.1460624151807,41.9228344169747,38.0389902963204,43.4528393850873,44.3268771344394,78.4317747839021,                      NaN,55.0392814522542,48.1280542438048,62.7880001320428,60.1708620801268,32.1991423728935,41.3885020252286,81.4066561195483,79.8985048349562,81.258190600543,80.435103752744,71.5360724371945,70.8673990865428,44.7568910837353,48.7418250876957,80.6719012042098,82.4538048171965,65.058595840285
S06,71.6577031487311,75.7455626247756,68.691265331498,70.1724350632333,59.173018353906,63.327191378355,54.7743225996653,42.2147812225849,46.6042810282822,51.187185749656,62.1851359625917,72.9248335085335,46.2276094529032,57.8427276617564,54.4961919256576,58.0007214947742,75.1313520067853,                      NaN,64.2785659287867,52.5404170645318,91.1939580630244,67.3711534867223,47.0982516979369,49.6998505586463,79.1807862014414,79.4257284121256,81.0555788522058,75.7802226274581,66.5829768418519,72.2308533685924,60.5130671730983,66.8993994216012,82.5031113302058,45.1519480386657,57.8347176607812
S07,87.4788980520789,88.1252752497287,68.584960128996,89.3821537656391,58.7997224201451,57.6854625178014,50.5616115580716,39.9748829319701,41.8248688252997,43.0653031379928,68.876806657967,83.4348123664381,55.376254195627,63.7419490970392,48.5429027893633,39.3289924468049,79.386320236957,                      NaN,45.7706475657266,40.3676988685732,83.8474130469513,77.8802934290761,55.4788475976935,49.2646142626986,83.6158672546708,88.6374010089358,88.5468210715197,86.1318377954661,64.5920910093721,70.7557534613887,51.862648336537,47.8359150847363,90.0081738409146,89.7173757735236,62.7455223113347
S08,63.926204246261,65.4157525077951,70.8981495071157,71.7353457087676,55.7571161041322,45.8699057776298,39.2828735329335,31.4219280784546,28.6217776255168,30.222125286245898,59.9568597625208,55.4930323337253,61.868923673679,55.5350356976635,45.1616163850684,44.8829126712027,44.2551797694959,                      NaN,53.6116577890643,33.4677288362563,58.9502753060848,63.4553699028886,48.8178235822955,42.4959374965833,65.9970215026166,67.4265118217896,63.9530445795225,59.269614828666,51.8426102771561,57.2243136734733,54.1528068002293,54.9193855130998,68.5301293439415,78.2264465398179,65.0060211872915
S09,54.657984950631,53.6762805281491,40.948648714822,53.2851630116468,21.2604696624181,21.9995509571043,37.5581960178621,38.8523596624042,35.5842773297449,39.4996520420586,50.8071147784298,54.9235821092791,45.6774672527567,45.9375540486714,45.2401866978883,43.9579211625996,56.1760365441428,                      NaN,47.1317831821158,39.1529876137414,48.4578777235792,55.2425411126933,45.4331415780842,41.7337159809706,50.9393388752037,52.2618088780565,53.414945968812,53.0057348205622,54.6895309322462,54.0581688934277,45.9930505204397,48.4684617429011,59.0195929160516,63.1139055389099,55.9461793295315
S10,83.493236779237,82.5182466526621,77.6511505712142,96.980123257987,85.7622292689079,82.8373035429246,47.6388655333441,83.3330129352436,42.7513356602283,67.4243736954412,77.1063780460618,98.7488253634835,70.6220042824215,75.0948112655332,39.5195684364212,43.9995655923643,78.0930525514715,                      NaN,68.6973323067932,77.8683291090622,94.2903843944885,97.729471768416,89.8815751981008,90.4703787279207,62.0893107795511,98.6620986114847,81.4693914837576,84.6814609208952,68.1953482779238,95.4766174271427,50.634105058616,53.1717735574194,96.0079230681147,92.4864280281761,81.0390130174923
