,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,90.2434521915681,94.8326610250528,86.9678776811588,87.4222345610394,36.4347836931467,81.6665779735674,14.6560137977906,15.9757433374022,10.7633798184278,10.7366905786322,88.3708200189674,81.5794525301938,46.8784579967035,28.3471602377692,13.0193494676036,12.4386295555285,85.975133446789,                      NaN,17.8767646442181,11.1871076426287,94.1538009488918,60.4441690501718,21.3804658767806,18.1396679874051,96.3928279420168,95.8069111569544,90.4423277374163,89.4266255902066,49.9203402433568,70.9490249852924,18.5859944860954,18.7082426873346,98.3764007017794,97.8131908588104,70.1852215556695
S02,90.5217338285996,91.1513047956759,90.7602064811817,87.3004115455061,77.1945819731327,70.0440673356747,70.7908248179651,78.3598941877376,70.9858277701939,72.5681699165394,85.813345553744,83.9565185063221,63.2952500395481,63.1807632734358,68.1942658384786,68.5560092208014,77.8500487093581,                      NaN,71.0435248663669,72.8862491779015,83.0148381224974,78.0900364522519,68.4421174955793,67.3528376089585,89.9087969168542,93.1617203569164,91.0223481144797,94.2674239887053,69.9369009382569,72.9896377198644,67.8149214594555,66.5130418344193,96.9590612610103,95.9816846165555,55.5009492672408
S03,57.0587746162304,63.3908584091036,66.8813569741641,64.6745942487751,41.919416761512,32.016288704779,21.3410911085673,34.6467706087568,12.8519139556825,14.8553495505059,74.7777685009692,45.8458436821368,26.1318813740988,24.3924490663562,16.52041802774,19.1409500614426,64.1904056424427,                      NaN,19.8694779842655,16.1823183153568,45.4919707509366,44.261844133769,22.9268010488446,21.7574033266434,48.5897512487515,65.7912084063144,52.9052963698412,76.0053892338028,41.5641137958275,41.1623189303208,17.6984651008234,24.6063841978518,95.0459942665862,82.4999003536146,61.5394803001287
S04,57.2755523142557,56.0429007108651,64.1800863255852,61.5334523340657,32.0316411069842,23.9087422289845,18.0034723294941,18.0180980410403,14.6897909409324,13.677373161406,40.1901823265976,41.6211137014634,31.3284975972734,28.0119177829449,17.2553004072759,17.9782427994859,30.9502551183139,                      NaN,17.2821030965014,13.6166613497335,43.0367559597334,38.0502810280594,23.7450968574727,19.3752951165107,55.3247396835234,51.3753389537245,51.2767667935327,40.2060234077739,27.9277850698565,29.0051373330132,18.2794416347352,21.0469604780214,90.923302319977,92.8510106495882,69.9435186590358
S05,                      NaN,74.5761477422426,86.6270392101012,85.304344069266,46.8888596076522,41.2624256929559,32.9210315784159,20.7808749777275,19.7320275860568,20.4624207186952,69.6223152048305,70.4286618306308,59.3358584743615,51.0131891864266,26.4223465820418,23.2045217759364,48.398797134907,                      NaN,26.3836436598958,20.5596857824579,72.3252699687855,69.7373179986834,39.733641658455,34.3902448850365,78.5283638768401,74.346920453604,69.3137342384094,56.9662231700006,57.2587084844072,51.4005027313336,33.1832038432545,30.7250400206184,96.6408665423577,97.0229405980606,73.5553617784449
S06,79.0784814570231,86.0190345202755,83.5060898351346,68.8964734791109,64.8946741355915,54.9780494725497,56.7549495195364,50.8947063580999,50.2111483057878,50.9993827405666,65.3244122478148,60.4691761474555,54.2539183023099,51.6543030073202,56.2451402302732,54.9952747278662,64.9559428189151,                      NaN,57.4362153188108,50.3905761149904,65.9052787827161,56.1374864352119,57.7029793692733,53.212658975255,89.1330685553163,79.6489001393943,77.1745367050425,74.1610153458568,59.6861541123156,57.4124166063347,56.3387037954207,57.2472502039403,97.3262006838748,93.9132110529515,58.965596538254
S07,93.047591499784,84.737778984374,89.1963342858902,87.7548313729283,78.9361171551964,69.3283612973967,58.1421757248979,28.8932128470567,31.6943138644194,38.1772930186764,72.1947165154565,74.1381771197061,63.427136934595,95.0757572564626,33.8637806333301,28.9484144113352,68.9571083422096,                      NaN,30.3672161762414,25.7168035426919,83.7969716110872,73.7029541974465,45.2699063651116,49.1611264201945,86.3394170648694,85.7773807045798,85.7226397297398,75.7525267262319,93.0774478663261,75.1119035111435,32.3664585417798,30.3935573500657,98.4836623066815,99.3383858854676,88.9979566027981
S08,66.2979236098638,64.5314775876738,69.5607919603316,67.3934204675031,49.9489006344596,41.1091073294283,27.5817212530543,26.4159358720844,24.0529197629746,24.397840116197,54.4873957220365,54.0052883063108,53.9489394203153,43.9338062873969,27.8857212140313,30.2521350024233,45.9044280829728,                      NaN,36.526063021934,26.0960610695042,49.304374007064,54.8796060859865,35.5366483199834,34.558566889036,57.6551745489252,65.1529348671573,62.1242423032731,62.3518932774684,51.2778565032461,54.8100390175755,34.8035194270287,39.2246439508305,73.3923498024438,89.8378338989431,74.6853643852785
S09,72.2593257577705,75.9809191313314,75.5560776039444,85.952992637406,53.4450596671586,60.8104008618736,41.9667626206226,55.3598763397621,32.3471474983702,38.560521839373,66.8988393563581,61.0478177453265,49.0431480043347,46.4202029176553,35.8924988413821,31.3194782350621,56.8241423402173,                      NaN,37.0706843425729,28.871532336553,62.0582062631894,83.4617168139706,41.9594729308073,36.0167420130716,73.9521434052943,89.348113076986,65.7194303351115,69.647169605923,58.512112886994,69.4014516172908,44.1037177919225,45.1170639393853,90.9443660600172,93.2872343527042,73.7995596084883
S10,94.7196720380527,94.7607869619686,88.6070894586441,94.9058620618364,78.1342156998812,85.6023175830407,63.7436632828582,84.5091925879889,43.1423506258192,72.0253312188043,90.5383966156357,98.8739753886647,76.3100571934853,77.8773772471633,58.0910923525754,45.9883851172489,84.2900512647911,                      NaN,62.2445524285499,82.2276725665012,95.1128661443964,97.2491228460156,84.5435783380787,86.5858065349646,89.2069716780667,98.7715632425458,94.0079237246604,87.4980043582018,76.3166947343918,90.4873586874627,47.2938097931235,50.7219302212432,97.4126006661785,94.715094459345,87.0532982455942
