,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,77.8910152900443,80.3871232995806,85.3268969406081,74.6941943523179,54.1423411835337,48.0939383423531,40.3046510413868,35.53124215094,35.3248167578003,33.3947497802762,69.0133577007031,65.5387547965447,52.5807707005002,44.2273399034467,36.2514346815259,31.6135648264461,65.387333636123,                      NaN,35.7016715702595,34.926429610535,81.099804721216,58.1890536680228,44.5607279911725,36.1853753518821,84.4056937739669,83.045381765482,77.1529112761588,69.25502282991,60.9168276518159,74.9773441312565,38.9333084367531,35.9676715249713,96.427907750095,96.2587116171766,77.671253004712
S02,90.2292075560747,91.3149790580198,83.9599993899906,88.2028197997989,71.7988123494791,62.3962050346322,62.5430140113233,75.6430549293851,60.1692159930764,64.7548172084271,82.1491412409627,83.9979324323619,52.6273763281589,57.0132270429166,60.5163205046667,64.6566519334752,79.2481785163736,                      NaN,70.1430275401626,65.521474407911,81.9486660794688,80.7656137226783,57.776439373607,48.1764287247411,89.6227757799394,89.0504178452583,90.261894587439,89.472134235192,68.9650966301285,72.7831159518548,62.7250218957327,65.8052588815193,92.7570034478894,94.1495526851569,67.0462454681014
S03,62.0728310893231,65.6039386244677,61.7655055606153,64.4677845761073,35.1995923496929,33.9322652320958,22.9810739147057,41.193218248574,13.9005200900496,14.5167555544103,52.9624310742473,47.9043234614888,29.4393057098341,24.0327028828837,17.7924358911157,18.6002718760081,52.9644593875939,                      NaN,19.8598869311403,15.5489212331708,44.8913310999409,45.146911575977,24.5895731177519,21.5522965119212,51.1648802557228,68.8679285915177,60.3776964426763,59.517809722043,38.5151210204469,39.9589813316805,18.6204071295794,22.6894204706659,94.4271907503084,80.5366830015239,51.6080237444609
S04,53.7397093710832,54.7146289595631,64.1647332103793,62.6595311194833,30.7589513131697,25.1215153048175,25.31690809964,26.8324482277538,22.9928133496342,23.4382900491201,39.5057243666615,51.4011842427207,35.0427824996147,38.1049720548151,25.6590193345648,26.80734029575,38.3846924655469,                      NaN,26.8160454038018,23.2509462049477,39.0631005674226,44.8156106610127,28.0894640231905,29.0892986279099,51.7193178867342,53.7702959134054,51.9105240092412,45.7584593305618,33.3310516473884,39.5903044782552,29.5718029840915,29.3800558832436,89.8639714821361,88.1118652755396,77.3733327196834
S05,73.0832420524001,78.4536587531636,81.3968765830488,83.7921362955885,43.8966541155245,20.1027175349615,30.6794705501927,23.7626684196054,23.4807094999376,25.2284681911261,59.7936613337661,65.4602142780232,51.6368765430915,42.9473025864582,26.6183941699542,25.8321726940168,45.7107627785756,                      NaN,29.1842352517848,25.3971613246453,67.2218596591003,61.2781781685251,37.7710719593527,21.9956506351008,69.6005167198031,73.0533471612513,68.5181784695661,53.5849084962357,49.6116684620959,49.850867307648,28.2855754257721,30.3652978628195,91.4097498028608,92.9201786198061,70.645411051424
S06,84.5965213302905,89.0259367341704,85.1735549300313,75.5296885126758,62.6005057040412,48.9835276311386,44.5455634341892,32.4799960798287,37.9586386910703,38.2321037377092,70.4142407774538,61.9501314931529,43.4620493031231,38.9275345984306,43.3918478750171,41.7789070410703,67.3974364041585,                      NaN,49.7307234804947,40.3813768440243,65.8258745350079,48.4741018202562,48.2426407204539,37.7646695717293,89.8563235424396,87.2432464312035,84.1908383166497,78.1957098787397,58.9210510078295,55.0795475289168,44.7775803734279,49.1702747814394,97.0074034854762,94.9123874879411,50.0017220385358
S07,83.4423585845786,84.5267987321512,86.1385181421209,89.80262976606,56.4237548565349,57.4103975694021,37.2053027982303,33.2551117881123,28.7410056763825,24.7909537705366,69.1503199723563,73.5324715757062,57.6114770343183,62.436291744562,30.9161953980331,29.9714854004156,60.3730550838678,                      NaN,22.4722328645657,24.1969224356919,84.331200206287,76.6667127889877,44.6939624976359,52.7840012791384,78.5130423994994,80.9291454869241,80.305009577457,70.4243350356425,58.4389929143543,54.1068460768373,38.4061599623429,33.4909230480084,97.139177962714,96.2109497707082,87.1118494674216
S08,68.3180982189747,67.2945729391346,69.692324331279,69.8935527907251,46.9186008013746,32.0173431928013,23.5537375522016,23.6193055666173,20.5496649681859,23.3300131049317,54.7489547494816,55.0481667458792,50.7668894456406,43.4504453876763,24.0473913580797,27.0173594563784,48.0809410419512,                      NaN,31.1851695095382,23.4238183762739,52.8929968039178,55.2095174910036,32.3208139397252,31.5204070408496,60.9729698287276,63.0043895701088,64.9551820326324,53.900333127867,51.5572689550241,53.3393329665373,31.1261649598993,36.7385957184825,64.6679898967684,85.2825287850883,72.5963637851036
S09,70.3177014988403,68.0967335664298,59.4127171021606,63.2152349847136,42.0632222894884,40.4151806711848,28.1250609248956,22.4001354887824,18.7068895338791,24.1920567616228,55.4455874745253,56.3709569741161,44.0663422851137,43.4731821312114,31.8493833673043,28.302755168938,65.4559687762037,                      NaN,34.286821212042,22.8408612702831,51.3845873449841,60.0926088321782,39.87457111937,33.4349257092724,61.8644687686195,60.8631275646229,66.3893773447428,59.6684229917143,61.0826381306111,61.0021956762608,43.1725711827877,37.8958055723729,92.4307514895308,85.6541696742422,76.1848582729915
S10,95.7634383007546,94.7463432126244,90.1110555516443,97.2590894141977,80.2890404381817,82.3113816423576,60.1231168229855,92.7032429953822,54.0730604822077,87.8752403531024,90.0961487903502,99.1964870816588,77.5962093978483,76.4935863679061,50.4015648951121,57.9562341497822,79.9918432277734,                      NaN,73.8681121697145,90.8470753093535,96.6728950275436,98.0977150779275,92.8345986286172,93.1290991163003,90.8873228228983,98.2275278323255,92.5787244340947,87.6873466747031,74.8791130385685,95.5061975685794,51.1464860084855,55.1296438748298,98.6034762302577,95.5032890869521,84.0841998491479
S11,55.3587341685972,57.6430059564792,57.8135792599435,57.8622462016153,45.6812144865124,35.2033939906195,17.3917912934831,16.6595477829243,12.1248188536868,14.308007370176,55.6935133424048,61.7137826834816,30.8453184199139,36.4117425014957,21.060295657725,18.3356321788346,55.0147677361238,                      NaN,23.1098225727813,14.384775107483,48.1997432295056,46.7140839254968,27.3146136330264,27.5415283922574,53.9197786418019,58.1049145953049,54.6968568951965,57.3418160102644,49.9856738373171,49.189278833118,26.2329393583451,36.1997584863336,89.7471297583114,86.2753215427463,63.0015996033758
S12,65.1711877889571,65.8731952275588,55.8455985315069,59.6704963040257,47.9039467026071,46.4504311993312,32.1843214680569,33.3294738148555,23.5231398506025,24.8946371951374,53.6729030733994,54.5191833885771,54.4460033450782,38.3074486733035,37.8737857574716,31.619793938325,59.8500792987314,                      NaN,28.5730960913706,23.8787655731993,49.4503216719223,49.114095009696,39.4418466831421,51.3572008355655,58.2901125671343,57.2967811484876,64.1758343014122,60.5462969972838,46.2327189088509,64.8264590526867,36.6842870260547,37.5278236256747,88.2544092511724,86.2060222446849,62.2421752821574
S13,70.433839755318,71.0271581220855,57.8842722694203,60.628405929522,44.4600480001504,38.9665031011072,24.8833230639223,29.2680627003975,23.5303325451674,26.155678259312,42.4702879193894,41.2643775380183,35.919050690285,35.9575731609964,26.9059761684701,28.7962858190882,41.632172888317,                      NaN,36.3944166440191,28.7881531516184,42.3785453501332,43.8157252796607,37.6965816832671,32.7143584420237,57.1149036385228,54.6981615417459,66.1433017204037,50.4378000907729,53.9757455159207,36.7441147811807,35.6926176242419,31.8695648616639,94.0933506056128,95.1829599095157,80.2196541865672
S14,45.6746242365393,49.8194593967401,35.3987733878071,43.4032241699024,27.7493697606159,28.3720444255463,18.1402775029018,20.5712009760203,18.6349304172122,18.5966999801726,38.0832483990611,44.1200417900265,19.9175712854706,26.0189843521683,18.4334012163508,15.9557947420889,43.5600567256688,                      NaN,17.2212474915071,19.8191047716608,29.3067538823323,33.559274316011,19.2868797132423,21.919712440721,43.4172760110578,48.3188630914644,46.2640635876193,45.740591780962,35.7278850305902,41.7378385675846,17.0854390910136,16.2889207275937,76.0387674568112,73.6250688002323,53.6785702880681
S15,55.4377331117267,63.0746341745034,52.4001197602239,57.0512986556851,34.1730596828671,38.2707978610852,24.9823362964924,30.0630847980294,19.4823637160495,20.5336883001049,38.7764500718751,44.5104029065806,26.9221525718736,34.4507936388573,21.2437871525633,23.3897835364829,37.817353563688,                      NaN,21.5015120576375,20.5126822515797,47.0650629730112,44.5110425904786,26.0815045813629,31.038158967455,49.6735362957308,60.7491848811667,58.683627815577,58.5345291945782,39.7156499192583,39.8962535340704,21.4650254619838,25.999021366266,87.2800643744621,81.6839802648811,84.6597629321309
S16,88.2012453886888,85.7690460193438,76.7129835275481,78.8098190974805,78.0602202374088,57.6418528953955,65.7597212003511,58.1388091150488,46.7969719410473,53.2083167508712,86.8838596733879,84.3170110737125,80.8770515223697,63.2356970495506,58.8423995378765,46.0865975773036,76.4615076671014,                      NaN,58.9030891114895,49.9032049127002,73.8163927545412,81.5865551098843,61.9285611252848,63.3501590331864,84.6401819751897,84.9813495256323,87.1350498480513,89.6145536603151,62.3155717169909,77.9093472795858,52.8062441363904,50.2459713428805,92.3734139008281,95.536154705814,71.40499722387
S17,80.4185284770336,79.5794193524509,70.4189696291975,65.9495564180518,53.4303915571657,51.605922220046,51.8462079411585,48.8804991422737,42.714648462606,39.0635109673712,60.1443136710133,63.8173347770868,52.8496630291717,48.6892102387052,47.6771506128819,45.205161722008,68.1993221404262,                      NaN,50.465235417981,38.9491701102564,57.8716609179197,57.2769317327873,49.644358291991,46.3459514753779,71.9773605982159,72.1417555422372,76.5112416257041,72.1928856946365,62.1087278447394,56.9631986551785,45.6269368431432,48.1761975223962,93.6353845857837,89.415353409324,67.795652016759
S18,65.9029027710991,58.7987585313799,69.0023380011266,75.4316876902717,35.5361989039957,37.4601454096215,21.3286509015051,19.3567713467873,22.5317625064163,19.426424929743,46.9993318429466,52.0944209593306,29.4936450690216,31.5314723461397,23.3561575681522,21.6153553102968,35.2108304252787,                      NaN,34.1237108487721,22.7667111910711,46.4362725519236,53.4685527859568,23.8192985742831,25.1491133652517,57.8788321085523,55.24373127682,54.8203117513028,42.8310231222896,38.976885841262,38.2053415211993,24.7195606400158,22.8952072540844,85.9179630184164,96.1711496323951,67.0414128491335
S19,62.9285794247629,63.0923648321899,58.2579642824283,60.323673559192,43.7092751952047,50.772043710543,39.8029486929448,41.0538822223385,46.958308332899,45.877497765985,55.7159673742887,61.9381322390166,38.3937194101735,40.5245033299303,36.6810874543824,38.5274596887328,56.53105480376,                      NaN,39.3961457902757,46.8888921719266,52.9937050031106,56.7834481287943,34.3282662667427,43.8377712440856,60.2202477651441,62.51238004548,64.1161610146174,61.2711029345378,51.9518044346509,53.5207192157342,35.9286523157639,36.5558929648262,71.0579648750607,75.5089854675271,63.5598113210092
