,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,0.328669264320383,0.267549153862465,0.905545934741777,0.654049754526535,1.52956319835057,0.413451446768761,0.486714547588139,0.31804002172033,0.305896911618805,0.400765551593317,0.840913187097266,1.42815755959275,2.15815149574485,1.92169036852395,0.622397404453115,0.546773604701653,0.652749249512962,                      NaN,0.67421751991238,0.363557872891606,0.449196865785738,1.3065669135061,1.17428795426071,0.806269595560767,0.145947055232471,0.21787537170495,0.330491042175299,0.779148990515698,1.73758267912184,1.91526917503551,1.12027740067079,1.00357153261652,0.206951471289931,0.233807818427274,1.97936457050546
S02,8.98152755544878,9.00623359591758,6.58754290143226,8.77290650469804,11.8483166389258,20.8529950701717,1.56534337583445,1.99723203048218,1.18655236229211,1.85023415972228,10.7366126208307,18.20755155267,3.24149899616679,8.4039958899205,1.74001342450066,1.96541701142646,4.92961744113783,                      NaN,1.40065766620325,1.64918915143597,6.39022815084963,12.4489219728713,10.0859651360565,13.0163198976726,10.0631451775243,9.46505766553262,8.01444048243882,5.20875766096951,5.04722934920403,8.35753612204152,1.69633456361074,1.97728157493013,24.6667429903804,15.7870183692372,16.0785327947925
S03,3.53844985768368,3.78524612409576,1.14309851487318,3.4723401880902,6.925254689882,4.4374095257708,2.8711650112675,1.42097633230415,2.0519120130537,1.89243070113296,1.46736756006637,8.27203885020644,3.67374177507134,4.1336011476723,2.95234913036613,2.48722310508532,3.18341706802266,                      NaN,2.45031621837369,2.1735804588726,2.93411509685668,12.6089146717674,2.80251732341338,2.92754606818103,2.49141455276776,4.71025697357998,3.93968708341248,1.0172091712997,3.11671208784307,3.02290802860646,3.49500957538675,2.97539626884413,2.41785488271386,3.59866770530564,5.42659816791678
S04,12.9050199709824,11.8557094692512,3.2027337628418,3.65166973557089,8.47379027296607,10.8059546174551,3.92876993701022,2.31534414800903,3.02986855402421,3.75124709674314,9.72077439129786,18.8034930265091,3.68696836319645,2.17910067883772,3.1188317868649,2.3657101097336,8.86849888978919,                      NaN,3.21121060481151,3.78897155786404,3.43770711636022,5.70953643806564,4.81273227968937,3.59566974179554,11.6214140252847,16.4377864445048,4.62865539877008,14.9345810504443,6.98247873310158,11.2353519945285,3.36049375310009,2.82397512321617,9.3526540229842,4.22804064547936,8.31063062359974
S05,4.81409846702441,4.2627409158822,3.66927461077652,3.76481522570613,33.7977107703618,15.8121432903665,4.05746403612259,2.7841075316646,7.69792064215369,2.99888165333226,5.06927293726087,3.88643224217087,13.7031916788099,7.41570988763128,4.56133037293127,2.12182353643134,3.9294161836759,                      NaN,3.01737318853611,6.41147828350992,10.8591377571561,10.7784442125569,20.2782682063529,5.16003424475107,4.55429066787694,3.8443119724086,4.70889682541606,3.98243878510792,4.97126549513578,5.65732769900413,5.89717235889068,3.10037244869539,4.59550323819974,4.78947721196156,0.687725260902247
S06,4.51184862304898,2.47918115719605,3.70620537333949,5.09917276547279,10.926010771027,3.19486269725437,2.8931941881674,1.90297786001997,2.29485683854045,3.28732597662759,9.8104002860237,4.24345386028425,13.1064873474569,3.82093679285018,3.05490734866354,2.1975863760597,3.50092773479311,                      NaN,1.97936470771974,2.82444403750953,8.66475552877038,3.36802769469153,8.80265104940182,2.70390472424224,4.78014622320835,3.57446272687744,4.40957535773269,3.64160499430389,4.96832293861683,3.43604941110387,3.37281386914838,2.73984148991457,2.69131870377028,9.66975915674485,8.70057229597938
S07,0.914287348465221,1.4006947352071,1.13195517321443,0.638722405110828,5.90221346967637,2.0446673281129,3.85580121706296,2.12442362414337,2.09238286310919,1.93325765945096,2.46127016459414,1.01969673348642,8.63674718167974,0.268706300806337,3.22475630315564,1.7465610793552,1.33773520445479,                      NaN,1.48460124294089,2.92319055841631,8.29357286801849,1.44842044366159,8.84940960651413,2.51223023769928,1.79663642558734,0.769287429308422,1.61804862596022,1.55268547918958,0.674158676487709,1.17072599061989,2.64249220530998,2.13098795228964,1.06770151265356,0.346113716482178,4.37508800688817
S08,6.5534897095364,7.12661653266874,1.60427188235728,4.94706896110931,11.9745020271994,17.2980461598014,6.13017504628357,2.28938670087916,11.9036330534518,11.9293335865551,8.64407371283181,11.1400492447796,9.70042785136967,15.6536767155383,4.93873370424981,3.56344713788647,3.93028314501967,                      NaN,5.3930266055858,12.3450000607553,9.86044776287602,16.9186284672535,7.9253439531755,10.122601745574,6.160271123129,7.38907147186051,6.4155482400727,3.04637723613443,7.1737472014813,10.5198065032797,7.70821263725602,6.87209874428773,3.12395087803797,8.45154971208931,11.0693730829374
S09,5.11538681969727,5.50188471912151,7.1943857842913,3.39031551874756,15.8403663884448,9.16945079328073,1.03898476448333,1.22882648386511,1.53747616377233,2.01245294389422,3.61240533315327,2.3426827346468,1.79538050675713,2.73908056423048,0.965404692898536,1.12790760774675,2.10441590830268,                      NaN,0.956429110184937,1.79752455963771,2.39192544467225,2.52300718959423,1.11490484244787,2.28051494333006,7.15080035284213,4.58228792401847,4.91728629786937,3.97129056166263,1.9129112876307,1.99956144285585,1.32562015912302,1.32670159703468,6.26084075656125,8.59667016308906,8.05537253063019
S10,7.13008280867759,4.8199679776283,3.38240918400326,0.599608689827417,2.35698156965925,0.901071106412112,3.26969783663582,0.206255716073683,1.34771348159817,0.478876863169961,4.9979136461307,0.0962598081954418,2.67058179470328,1.0080034143529,3.94716442750787,0.73959502771422,3.2281925991898,                      NaN,0.543589833186994,0.446987433559054,0.773242641987477,0.192315545965178,1.58113724314841,0.229916439077936,9.13650807198309,0.316774872809767,5.26637046636451,3.23347240154603,3.60062612181348,0.334748356858476,3.35468158736614,1.04109883955946,3.62919731694604,3.83641048487843,2.29323232344934
S11,1.72277516968789,3.92741995264149,0.23269440620632,0.28369199306114,0.841490161188489,1.84662475538265,2.61834171296067,5.59203766384661,2.29779262754349,2.85030894684547,1.59578792910067,1.9638091921021399,2.37415888872837,2.62373815153227,1.95822020193935,2.14363111366,1.16564441251408,                      NaN,1.75621156023039,2.18712531714713,2.24197156848833,4.64786329668731,1.91272796457068,1.90599579823585,1.09600443875017,2.36902424555662,1.67305368181564,0.882393668547906,1.62647749459314,2.61550927050355,2.21347321714509,1.86389520157245,0.507692658025856,1.93116600685768,4.15759609883662
S12,6.92950459706533,6.44346798979694,1.55927992412654,1.61055180944611,7.96760689078254,5.66609750434763,2.10503679811056,2.07827661227528,1.76256755630537,1.89548594629151,3.44594566107676,4.30173623848359,2.63423223837235,2.46183228026117,2.08699862045342,2.04916825148211,4.21591551043717,                      NaN,2.12875111664821,2.00992672132872,2.59279160626163,1.9153881459159,2.30212567265894,2.3918290902736,5.34891863778513,6.59589653903665,7.1375400264505,5.41029964412136,2.98837882879629,3.06680470577623,2.46279148328473,2.20351930390539,4.52263379529115,3.36128737138934,7.27303456091729
S13,3.01501278818253,1.9500866780026,3.27108681506131,2.21617511088844,2.81489008707238,4.19963721628317,2.31996702548324,3.37175648019098,3.68095097599468,6.75355911071138,5.35913404981393,3.80871592047836,3.73077691515868,4.72517926430295,2.77640278679861,3.88271374707626,3.90627756663499,                      NaN,3.6693804708234,5.87001925677828,4.24196611998981,3.97703682655861,2.89474417854348,4.07613933911902,4.52558898263538,2.62414664943326,2.41991324460863,3.49112754111715,4.80780557011322,4.29726020850073,3.44732146121203,4.67737984816214,0.429270903365862,1.19420034296729,4.22443206391397
S14,0.85537473229756,0.931259531842819,0.888838836187849,1.04703438229124,0.939363672965981,1.07417163851349,0.682617551760632,0.928340613301775,1.20575431711133,1.73806165869472,0.809152591986657,1.10863749445932,1.21416046859941,1.55641108390628,0.710700900358484,1.03231446755449,0.652145736976471,                      NaN,0.847070068284063,1.50111429224265,1.06739580464226,1.08743980984148,0.676080820714566,1.15272666347461,0.851050516336036,1.14731256313195,0.809550972875681,0.66704703223804,1.08801507995081,1.01683690077288,0.805344700130201,1.1292507477292,1.3691894233827,1.51950245120878,2.89002315723071
S15,1.34670026267341,1.35397968244318,1.4166936704452,1.08320104458754,1.03654251600952,1.15959988710448,0.638665667279081,0.562327698042554,0.639426312997629,0.692473557165515,1.34217575361295,1.64690459004626,1.45536431105492,1.59476144641623,0.690340244384802,0.565113140370579,1.03691635612923,                      NaN,0.563125536016135,0.681976690403409,1.42577221582458,1.40386565269968,0.902003282866147,0.912051945304314,0.939164378158726,0.806972394952725,1.20277773450294,0.879284703496761,1.30404991805576,1.51448765527817,0.891340449791087,0.790128227792165,0.24636426476739,0.945224495047177,2.49127447886256
S16,3.51663547395779,3.73924383765069,5.87576749500728,4.79553090426167,7.18950482499513,7.71541668923783,1.7803793549222,1.06772136519351,0.738449425271786,0.950767856571233,4.25989404638727,7.23410421256275,9.94850206479831,9.8180618997836,1.61627044541317,1.54954973571575,3.66939029921075,                      NaN,1.58331607093855,0.97385770534294,5.23140985936941,6.73256189425801,4.20232450463525,3.39731333706877,3.81741097024201,5.02592291416778,3.73287213200898,4.06538026497968,3.83308938923022,5.52000325426782,2.49764793478341,2.63296969729596,4.69401137770439,3.33117460376805,5.91316754370367
S17,5.9856063855256,6.83509678531953,5.41150911877291,4.00053377856969,10.4963630014449,10.3283150754589,3.56460924674507,2.80401760465519,3.22775253552958,3.74177910132377,14.8714752540897,11.8203484653237,7.75241197052404,5.00411222909678,1.95688522804261,2.20396809702532,4.07073503924244,                      NaN,1.83892342399603,3.97457119732551,8.56900422701905,5.54047065743502,5.48368497664372,5.20214239518826,24.7394283234238,14.2982535468328,1.88090595667887,7.99728136715359,6.01979129438701,4.78790832938552,2.48229270572405,2.33875328587047,12.8963476444436,7.15605357521521,6.87201178359164
S18,1.40070053712297,1.41440651110998,1.61419682103947,1.67373585935717,4.02146318569259,3.93586379775881,2.21508563661007,2.1140561339776,2.08942257706428,2.54689074468642,1.5313659309436,1.76544298719935,2.96057491928232,2.76139759821158,1.94057931050362,2.12241341469196,1.49069821788109,                      NaN,1.84127621851816,2.58848156072645,2.4068384334034,2.64551515278577,3.01102538088362,3.03893238972153,1.402910165431,1.48203283320041,1.40978990180417,1.41013874671022,1.657934259302,2.31702112845421,2.09941663590266,2.01933998748313,1.36435590420046,1.35910253327669,2.60317199968178
S19,5.0389365193941,10.7052416477136,3.69535307616359,3.7880532389292,4.68459234990218,5.36695066674343,1.703182412387,3.46408636401897,1.67824413214955,4.74221230143093,3.58508162974709,11.4750079455515,1.49700255174213,2.98006745005138,1.33734695944973,1.8267677762602,2.62291390807207,                      NaN,1.34885961535304,3.18124959011155,5.13172452537924,9.51610878473514,1.02994374960158,1.82055178289732,4.30582022268379,11.9324857710613,5.39818223856225,4.09287674811006,2.61853228396637,2.26778004500604,1.25340481684862,1.55416964765862,8.42233916147123,6.35498050326574,14.6947157995449
