,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,0.849493611360381,0.454272438259771,0.488765996365144,0.416320156695815,1.69860299288862,0.317716786215125,0.705077551809203,0.454636818559367,0.506379914380011,0.628356174080237,0.86559912683447,1.16495817803225,6.35854323365903,2.05910541897864,0.9714804197113,0.871910246600479,1.0388833156209,                      NaN,1.17252140747415,0.612579086087406,0.460654233406189,1.21474243613455,1.40704457428044,1.01645771839692,0.284401529393575,0.328008190795646,0.656233639923554,0.660468314101717,2.08555985379155,2.40061350486583,1.60933569543238,1.55414269560332,0.269980355155856,0.320446135123676,2.4101556151402
S02,5.43001175313428,5.82224343034436,2.73173522351469,3.33653043521897,2.9693555186853,7.8330356722851,1.46780946450687,1.79561465586967,1.39978607825134,2.65705335657719,9.89360820103684,11.4909333611141,3.50864661968612,5.11244917229555,1.44531602721901,1.44788611683429,4.5370008667872,                      NaN,1.44710480502736,2.12871719429993,6.41137789700018,7.0412027275161,1.59016355846756,1.68165472109835,10.0924244067439,7.10717830363813,5.70320647182502,7.26523334442831,4.27907862493586,6.24846691792203,1.70783097461063,1.60601580384148,5.18749966592354,3.65763629721322,9.3457908282586
S03,9.40303304824328,14.8883437397567,3.81871727477818,22.6058015216654,5.95899998214977,3.6415737245062,2.93778615121092,2.68932086333561,2.73599278213328,3.31152190942523,4.62571397726423,16.0956946986279,4.79127354086736,6.69095322145114,3.03411233649507,3.03606912509741,6.7169064864528,                      NaN,2.75628197701842,3.09168439709428,6.2388832106582,26.7481701454753,4.58951390109891,3.21167139966539,12.3908230385599,21.8251493611882,10.6688473151973,8.87387359775626,3.58486075109129,6.31595307288773,2.653423720972,3.11180436819512,6.1022776516896,19.6388072757333,9.13252997279368
S04,21.5930255514191,15.7780329854743,3.63074465136495,3.47301164402636,11.6658139690749,17.6888117494456,5.47110060249363,2.83846336962592,5.01210323026792,3.54846249812897,13.6682579401316,21.8611517506855,7.07610027577111,7.95031633277992,3.98581100339161,2.92340200114491,11.4775992771402,                      NaN,3.74487894219688,4.63431519399555,7.13041230468828,11.5996621542858,8.13873296296711,9.67383041588517,18.8299573340988,21.9298907078072,13.9108234754573,18.3161686201251,10.6126123931013,14.4572226365951,3.64765679724499,4.0273171911967,17.0711378804154,4.86474128566622,9.24718486998531
S05,12.189042556198,14.3613081215954,11.4398767859191,7.21217672032568,14.9663839744113,11.5952108575845,5.3867994129712,4.22101482603712,4.72788147408275,5.54780941451223,15.8370238035742,15.533835861883,9.42691446285113,7.64044166925484,3.48766395172869,3.38752458911245,10.015625658121,                      NaN,3.69198071095397,5.29098731157057,12.0101881465946,11.5231820881707,5.99523784133107,5.27710658192818,20.5965261768052,21.4823772286549,14.4247095036894,14.6266394635732,10.1051732027419,11.0484312052058,3.68204669224531,3.91963872030031,13.6843879952555,13.9783303210583,9.21222631084599
S06,12.6766355466285,31.1601034819124,11.7621924388455,26.6714032687595,6.25406902044058,4.69084334089117,2.505646590986,2.20975541173067,2.92997075182112,2.88977619880366,17.0011989372639,11.6465663889217,4.81977807981858,2.74223617616365,2.41648408429787,2.17856892289801,4.97954577554195,                      NaN,2.08249830961203,3.2041145752382,10.777366991006,5.5643826283934,3.93252984299887,2.21362724816785,23.7170851974972,8.99629077583059,7.65979601808925,7.43377853312286,4.46137650557263,3.6725847288833,2.8927770051382,2.2340901356596,18.4560936511469,20.2185472763212,7.43507888401832
S07,1.67703780082336,1.11088704444813,0.861020540087358,0.427537988021993,2.14809399980877,1.54605090664804,1.65187761497646,1.67923834950919,1.15000535778322,1.20865942882576,1.56195806335861,1.39043061480546,2.37931739289336,0.61444125924244,1.31072050710491,1.41307300189403,1.80934879908229,                      NaN,1.24848813499031,1.77069075178669,0.477990339216486,1.21078974697979,1.7769178068083,1.8272819208196,0.58680305807195,0.514515914023235,1.08397180501919,1.48227884336524,1.60745537654574,1.84791594113512,1.69051608123443,1.78948406978325,0.698127672152201,0.317609488258859,1.84394688325553
S08,2.62225705787827,3.81078903621328,2.00959627773955,2.74626125086193,8.77484281962387,4.65576410268581,5.70568198015749,4.53296455586209,9.81796471535954,3.68393822261045,4.72265463747106,12.5662898194787,2.83050675059404,3.84060194671759,2.77341200664368,2.04536483232168,3.39311307733643,                      NaN,2.17173455151027,6.43096266770127,4.53179570551785,9.23227872814646,3.00093684052375,4.71529028789348,4.23185115958608,8.67672284453702,2.95183168323452,4.42676450167221,2.55145604366726,3.76820027104114,2.49090696565093,2.0402052252009,3.21673163919859,2.63005887871245,6.85582209349983
S09,3.35502291936629,3.6740342153433,3.09809062640079,2.77661732262224,2.86096321085329,1.23268275657398,1.5619557175309,1.13723964063924,1.5106260700371,1.36837004213756,2.53919964299199,2.54193158989629,4.45264522762233,2.08491480385412,1.38145857174469,1.34377632620623,2.71003172962097,                      NaN,1.3367762392648,1.49752667200745,4.68742484615483,1.67638036084176,1.96475714337608,1.31172993586029,3.78479547627793,3.35537886384357,3.39028430929136,3.19272119744523,2.37261786947827,2.40320073882071,1.61859185606927,1.6756454749368,4.32926878838244,0.787211649036507,3.64098038499015
S10,8.85478290940058,1.08639578774176,4.69500706657324,0.816021929408508,1.22879106423275,0.593968463728523,1.50692009082266,0.14118128976742,1.67867149069207,0.325410189020467,5.83641415653056,0.0319993679647895,4.08970003576061,1.30206199110963,1.61639337607528,1.10542889753241,4.17154956350988,                      NaN,0.617679390084392,0.283080344952547,1.62644327501308,0.195673819395397,0.168082226451171,0.15860110128043,8.30672469850257,0.0689649635607477,2.42124000222344,1.84272349291756,5.65800350538703,0.24731658413938,2.04177106208055,1.96053888412321,4.90624895847937,1.07754110994768,7.74425812467329
