,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
S01,1.69882961664015,0.810136391812364,4.26255092915327,4.79471245620938,3.11361015169442,2.28146161486226,8.87764594690318,7.52686777348452,6.77528179123911,6.94488672343617,6.24497338156975,9.00170715123526,8.47544994978598,11.369172164653,8.38377513731758,7.85486974887564,6.86907262444173,                      NaN,8.43757696112511,6.59614674518169,3.53938053083149,7.86491746622973,8.88953617389378,8.36689461354284,1.34576123870472,1.06434447169573,1.59091938944564,6.73723953695058,12.8685217201933,11.0971740853062,10.0737687906539,9.82677977907082,1.35048918432315,2.12505426200896,6.50831288929919
S02,9.33743184783732,7.80569855283717,6.42992338934191,5.47048840581977,11.1723764434532,14.9259436354333,14.3261071691845,15.4486262068119,12.17050404911,12.6285599992017,10.573882749633,7.39761522316164,13.5842202329219,16.865281508696,13.7779129441842,17.1829487062221,10.9916480088652,                      NaN,15.2662696169857,12.5271837321032,9.27028295971376,9.49106801523993,13.7320061346509,19.2477196667291,9.07437256866072,5.67987583265316,8.05801812280962,7.99957047383194,17.2331836489159,12.4420470936428,13.7351020356319,19.1360402850818,3.72134269041496,8.35213418815428,8.68827182255749
S03,6.8813762645427,5.59685131096081,9.42238387856632,3.85717578970899,15.0082099567278,11.3475057509656,16.5544217940609,10.972773329385,10.2518723867842,9.63258228675898,7.96204223850859,8.80159929774411,11.9919558396395,7.82782927721387,10.3648352617106,8.84345623529149,9.09447845190241,                      NaN,8.95612470859798,10.0830481520288,12.8738740028784,3.03479842426553,13.6105045468195,9.46329966658886,6.0937363607711,4.37398031522092,6.59819077106309,6.62279594618833,9.98813325742352,9.73545808805454,8.14947829572005,8.45053202491094,4.73693190987239,3.09376904890391,6.38560850755749
S04,3.65634406406461,4.09248979056821,6.15335892846151,5.43063202689078,7.51989284103611,6.18266632763222,10.7177294499274,10.2424557734733,9.64348139081182,9.94479782045695,5.97649964801468,4.18450514354453,12.4607020666039,12.4353431002467,11.112821250462,10.7791305571661,7.00625308391432,                      NaN,10.9350479592954,10.2771573360428,9.80832490229142,8.07342952890379,12.4066798713889,11.1685298337833,3.26707000278239,3.69147779802291,4.70615713370491,3.65949489894848,8.08741154502393,7.27248088488159,11.6636851871091,12.2629919601508,2.7382761954107,2.46921910375508,10.1795197150357
S05,3.36265095414591,3.81026395715563,3.87839813777207,5.31489867691311,8.66634297092436,11.7732085769613,16.5913774080796,13.9155476199593,13.7237835348019,13.1616366453773,5.56068139088254,4.84884835490845,9.16084772230336,11.9674118078181,14.4484189073181,12.9594205745014,5.46713838795095,                      NaN,13.5254416458903,13.7192965829382,7.3640661777969,9.1950804477015,12.726428657755,13.3157896101466,3.53659167504194,3.35587035515577,3.54273457642372,4.12655292158057,8.03568931839187,7.10033590904286,12.7419320149565,12.0534318500975,3.78967878927068,3.65635030048764,4.7333145268517
S06,13.3135693748612,8.84114732232477,10.6430207822438,10.0487007943698,11.7318173326581,18.4247116480334,16.2993707451525,17.2598436116091,14.5858387839412,15.3014871527489,11.5651398540989,15.6720884941916,12.3344840491658,15.3444718908559,14.7113284813918,15.3553936023086,16.1748626152173,                      NaN,14.2539313309899,15.1610784706818,6.30152091586755,16.9356682701199,15.0563905728492,17.2193652055416,6.27293349253119,6.79425037763726,6.41279980218018,14.284876474299,16.0144171506102,16.8980769271578,14.2726018559381,14.2646039056956,2.72988522896795,2.89606357616038,13.792954344971
S07,9.95971706562766,5.64414747003873,5.25355225662963,3.95142909317168,10.6133435880177,10.4403515308505,12.4075678731545,13.4649062635859,9.28617505898872,9.8999386100161,11.7366068312887,8.73896359925035,12.1099548368374,10.3648062045826,13.1368102401786,12.3791341469355,19.3375468786646,                      NaN,13.4270868247529,9.69765059510421,2.64407490891145,6.07273151906833,12.8791840897788,11.3882991553563,6.57141370084981,5.7210242287378,7.90356150270107,12.3151633498577,15.7688892522699,15.4200498739535,13.217309045063,12.8789263395124,3.8687450835557,4.65225927102891,9.86990808666667
S08,8.62575351582881,8.45070435237649,8.75549568156445,8.22122086167116,17.8860545201376,10.3106621156405,14.743354056099,13.342712144939,13.4976331471993,11.7631141087414,9.82080210650378,12.3797262525162,15.3613398541062,15.4992775951358,15.3497802585366,12.5759322360723,11.1186738289743,                      NaN,12.7643039066037,12.5448082708173,14.062389637558,16.4436218919012,18.3223377444875,14.1188374347565,8.66113899179107,8.70594655255396,8.10837388146896,7.78391948504072,12.7904216068412,15.2457730389855,13.8919533162781,12.6594336397283,9.36102698526368,8.35780718846946,5.36792777196471
S09,6.61505416464729,7.33239344640289,9.11401913046569,9.75395810985185,14.0369940178537,13.1454162916349,12.5293346877548,10.3474480495703,9.87677038028226,8.77202259831339,7.59835824978939,8.7587338850715,14.0099044398818,13.1167808573963,10.1481573822374,8.37812212302925,7.29242949052762,                      NaN,8.06882203348862,9.98018456989443,11.297163362405,10.3022475246581,12.810135595686,10.947956972601,6.52036983348328,8.01768010848599,7.14321953068576,6.98200094909964,9.25560072448175,9.37816801890928,10.8826210809892,8.49018916297074,5.76678864345038,5.88922107771262,8.71017326739473
S10,2.74430628011941,2.02571562631388,2.99336163389978,2.46137564217013,3.01765639700384,2.48443883832202,3.01025942607783,2.23437378638898,3.47129015393445,2.14019646452429,2.10639649929118,1.17450868991591,6.33370500476987,3.8373446360612,5.32058297769873,5.57104547320052,3.83237346936067,                      NaN,5.28872909617445,2.03151594111537,1.46786554369151,1.9923284568167,1.75874919537993,2.34455454082651,2.81995803481912,1.4307641914856,3.3898584532726,2.02771450961708,6.00563582473416,2.74950236373847,10.2500259096861,9.67089169557126,1.16203760405861,1.3160682751481,5.67197281797841
S11,15.2716525703457,15.6849483102456,16.9422297208636,17.3257418783745,15.0900570997281,16.913969917985,11.2749884504326,12.5091828453222,13.1504182929937,13.1543563988379,14.8390059842134,14.7634903141104,9.68210742420436,13.4965800415509,11.486983196827,12.5393909175738,20.6933365048562,                      NaN,12.2649705392416,13.4811232158419,15.8533301620633,17.1498163094953,12.294307946354,14.7954544905355,16.7752710756746,15.644690984215,16.0929969816979,21.4219987136422,16.4482200199712,14.5963764943467,11.6247754849284,12.2266022531529,7.16069615260876,6.74335734490835,10.8669698171266
S12,9.77637874501409,10.1394505391484,5.12395828544648,6.1940744422007,10.5316032193287,10.9458541823446,19.6243723177181,19.5218216648703,18.0988141767052,19.5394756902414,12.435129463351,12.6532428129657,15.9187634643526,15.2320901186204,21.7565314135353,22.1819944545604,19.7754296472543,                      NaN,24.3577312635459,21.6085674840758,9.04188247318601,9.57294342263322,17.2192918106118,14.2142021869765,9.07626832882684,10.399934759767,9.34326882600877,14.5327245272666,23.3745663072605,20.3113315067463,25.1682504104462,23.2887165875821,5.42883799942524,4.96812583631553,7.59195641579942
S13,6.68459356975338,7.47661457194436,6.05496997973098,8.34993006073774,3.75472815686151,10.0218553344653,10.8701133623471,10.0823891976005,10.0430573877729,9.62979606660837,6.12966953391115,8.23425885302187,9.85310329046784,8.8103170511994,9.63720336410681,8.97237395232109,8.52023113942102,                      NaN,9.56550335022728,10.123577125614,8.06320488532136,8.94580172898251,11.4278260915889,9.75028736711067,3.84360283555768,8.39365283306184,6.58750146652247,7.1651062402104,7.97318197924723,9.45444474412688,10.0192880787342,9.17676335413092,2.16780194164383,1.63768958088706,3.7398657346454
S14,6.10275134463866,6.06013467666243,11.8748571398966,9.01128095533309,27.2007129575672,24.5827222337545,27.372699932888,28.1364243614042,25.5738799221136,24.7190515190169,17.1902544268315,15.063194924639,24.5373450128505,23.9538187151657,27.0297077348757,25.0963320687932,16.681852135247,                      NaN,31.3212208075848,26.4743759758603,20.7278985011883,19.3770211970941,28.4601145296602,26.9402726569529,8.96612257718238,8.503411152388,6.51280964247066,11.0600372075746,23.7302863305256,23.2379931238122,28.4619019051239,24.100954018309,4.8038031598029,4.57106576164435,19.1650225602972
S15,6.7527380407193,7.35329045863866,7.6320992252576,7.54408198744305,13.501035951064,12.6529278234063,9.76971134882531,9.84575417582294,6.89330915185448,7.7560226534203,10.4177735917338,8.93526819418807,9.93366027749386,11.7760365943485,7.03346074836577,7.89307136530442,8.75088921565168,                      NaN,6.04095287687209,7.36957153608862,12.4346228512954,11.7502368729917,10.4429801759175,10.7751326424091,3.72948856524373,5.72040649310178,5.24803006137173,3.23640659782529,10.6327564250718,10.0257321634532,6.55993919932848,7.80917016096253,6.30815767938643,4.52435966077288,12.3257897263933
S16,10.3594380289437,9.91927915644113,14.6364716889865,11.1466216186391,11.7631259502386,10.8085890716662,17.4422759175884,15.5562955530999,11.719460834781,12.5042632219025,13.5949366835006,13.1110504196693,14.4375928334426,12.4741738779448,15.1110613954826,13.3522720424579,15.5533272881571,                      NaN,13.6718862802578,12.2765186301504,11.2903452613459,6.90233044522121,17.1494479071033,5.78188158967924,11.8655204747826,10.3281376247511,10.1712895507256,11.7969145431118,15.5832154081188,16.5398408528319,15.1940922007643,14.1086812797601,7.97461629978177,7.27392896131017,10.1648155733906
S17,12.5697516984751,9.66852318238529,15.6287561696862,14.2005402587016,14.7297744207904,15.432355719743,19.0290620232273,17.5469019857501,15.8305467544137,15.9957925562269,11.2274985404743,9.36879242152942,13.744138058628,15.0717100520222,17.7973447555402,16.6243079656399,14.1523392680711,                      NaN,16.7739679141828,15.5800305033694,12.3186783341866,14.1896165682786,16.5655989650067,16.0244786337193,6.54839912056154,6.80656397989499,10.5696909923536,14.4551357171285,15.4067018299704,16.1426472484687,14.7121646797925,14.5513174986146,8.09481541314996,5.99362476894429,6.67340661277592
S18,15.8327166413084,14.3129616050822,23.128340276284,20.5236361086471,32.6277387512939,24.7317597500832,30.1058677941439,24.8420734803198,23.4742670014102,21.0613920179976,25.8085865848928,23.8814494676544,30.4385942657739,24.6718135191444,25.9507021776275,20.1157374328761,23.8965635034569,                      NaN,22.0124071306562,22.95968527288,30.8720633815195,25.8740951467605,29.4446188783115,24.9641998416177,19.0617202265719,18.6174795938482,16.0234059176622,20.075270145851,26.8043196336351,25.6573727904236,24.0986493579736,19.4015793470979,9.73127757482189,8.00618795334274,7.17677197034147
S19,11.9886203065528,11.9494833542656,10.2610000480359,8.6357343338402,21.5087707215307,14.3450145539193,26.358744971453,22.1762004124112,18.5928177675025,18.1210244790945,13.1096193431922,14.9491817134509,21.3616406447198,19.1922652358982,24.1350465632725,20.8181406066968,27.7896120674766,                      NaN,18.3053999126549,17.2849694554743,15.379067112551,12.8939572037841,25.8987753758685,20.8217445439356,9.05467719549785,14.6313688308288,11.2644312148533,17.2923408282544,19.0743927770336,22.9378620090814,23.4290935747578,12.9892125926921,8.93211850304672,7.42311910113377,10.8228708326504
S20,0.990612730536545,0.770547771826518,0.23628756935401,0.311200055731597,0.272222312255037,0.569408055013481,2.57746343994094,1.53281745783221,2.85666246645368,2.34022103837418,2.47628487446174,3.11840331570555,1.57955993040374,5.6926434406075,3.61223353064226,4.16157904260323,1.48570423743476,                      NaN,5.42505198132861,2.429781856587,0.196678521450683,0.450865595742561,2.89854094670199,0.886371385771783,0.319325097153129,0.393430128632378,2.91254179622073,0.339575735613884,3.35600256234534,2.80487092438974,5.99776482238943,6.47047774066246,1.27867707753233,1.18114614492636,5.50149479387247
