,channel,LDARF_Coefficient
56,BCh25,1.4004376266225045
60,BCh29,1.0108785922984826
46,BCh15,0.6578699862746696
97,TCh2,0.6466832716259289
54,BCh23,0.6300825547775527
42,BCh11,0.5212551953519743
44,BCh13,0.4847057693840805
40,BCh9,0.455397629101218
112,TCh17,0.37078616718841423
10,ACh11,0.3486570461654195
122,TCh27,0.34384559744654974
29,ACh30,0.33370084408209755
75,DCh12,0.3205009739715872
105,TCh10,0.31842274263521864
124,TCh29,0.31765659184908474
36,BCh5,0.3090044612320021
55,BCh24,0.30022743147393743
79,DCh16,0.2902679163317408
95,DCh32,0.2891444795507637
18,ACh19,0.28066768815195436
100,TCh5,0.24065832037331839
109,TCh14,0.23549655312665366
35,BCh4,0.21729698169835326
69,DCh6,0.20260265508936162
64,DCh1,0.19525776422923577
98,TCh3,0.19281906525821357
117,TCh22,0.18998710203218705
127,TCh32,0.16838360732555385
62,BCh31,0.16743846714883875
38,BCh7,0.14913511280510475
70,DCh7,0.14745193113654367
115,TCh20,0.12983872118888087
7,ACh8,0.12710701122823256
4,ACh5,0.12219909591429515
123,TCh28,0.12217602179398722
27,ACh28,0.11127890175390098
116,TCh21,0.10691168813654511
96,TCh1,0.10316614531163734
5,ACh6,0.08620510601802998
77,DCh14,0.08464477474472676
89,DCh26,0.06445175129926402
99,TCh4,0.057239028344375886
108,TCh13,0.05370546331379757
9,ACh10,0.05094991901216096
51,BCh20,0.042613268766705875
53,BCh22,0.0415821980408029
30,ACh31,0.04085193366894619
23,ACh24,0.02523185366322886
106,TCh11,0.020486088848737472
87,DCh24,0.014468860061147283
16,ACh17,0.008335730228750267
14,ACh15,0.007411339102750102
94,DCh31,0.005309672834078292
2,ACh3,0.003746047764530696
1,ACh2,0.002603314181211938
17,ACh18,3.033123438261251e-15
113,TCh18,0.0
49,BCh18,0.0
81,DCh18,0.0
72,DCh9,-0.003184080905647695
19,ACh20,-0.009461390485496227
86,DCh23,-0.010329971436882092
39,BCh8,-0.013551296790786291
0,ACh1,-0.01383814204007065
88,DCh25,-0.0159685634643518
21,ACh22,-0.023081351862344855
125,TCh30,-0.024763112575075057
93,DCh30,-0.03464046541861901
8,ACh9,-0.03774379089160825
66,DCh3,-0.042223876508706855
83,DCh20,-0.05222900961444635
24,ACh25,-0.05983288949297838
73,DCh10,-0.0728771915396592
22,ACh23,-0.07381714430322585
78,DCh15,-0.0739274374671321
32,BCh1,-0.07581607690157696
90,DCh27,-0.08542869300026061
91,DCh28,-0.0929295184794136
48,BCh17,-0.09640361214771846
71,DCh8,-0.09774925920744464
84,DCh21,-0.10256975340260992
12,ACh13,-0.10558950401081145
13,ACh14,-0.10666841499122909
6,ACh7,-0.11821920718997025
63,BCh32,-0.11936894922812587
67,DCh4,-0.12181416362015285
76,DCh13,-0.13075868907949992
59,BCh28,-0.14473040756793482
74,DCh11,-0.1506080872508374
15,ACh16,-0.1509070850474958
101,TCh6,-0.15429569626998582
110,TCh15,-0.15753293201423593
103,TCh8,-0.1588507312495677
80,DCh17,-0.16123861922196728
104,TCh9,-0.16359308668940922
43,BCh12,-0.16740608741257929
52,BCh21,-0.17002785356337097
57,BCh26,-0.17190155462705115
82,DCh19,-0.17768045752203698
92,DCh29,-0.17812901664927333
26,ACh27,-0.18253756049714398
85,DCh22,-0.187765119170454
118,TCh23,-0.1888263095830996
68,DCh5,-0.19840193199947867
25,ACh26,-0.21763102368896703
121,TCh26,-0.25285748535349933
65,DCh2,-0.25746992408184866
102,TCh7,-0.26278520916926423
28,ACh29,-0.26442286891730915
31,ACh32,-0.3063932098919074
50,BCh19,-0.32168250770520507
20,ACh21,-0.3323019675747345
3,ACh4,-0.3376832882822713
126,TCh31,-0.3413224156137761
47,BCh16,-0.34963454686091416
61,BCh30,-0.35753658900222807
114,TCh19,-0.40200772531583084
111,TCh16,-0.40950831601782367
41,BCh10,-0.44188037980783007
119,TCh24,-0.4653215368278703
45,BCh14,-0.46911742967568126
11,ACh12,-0.5234703276977793
120,TCh25,-0.5253797188981572
58,BCh27,-0.5710248165913311
33,BCh2,-0.6110393554947552
107,TCh12,-0.7332362854056457
34,BCh3,-1.0928859244826301
37,BCh6,-1.1694446862463537
