,channel,LDARF_Coefficient
103,GCh8,2.7552893677831762
119,GCh24,2.292592745979073
96,GCh1,1.8352631032197886
116,GCh21,1.6009571797235238
123,GCh28,1.5111723541437256
99,GCh4,1.4538459909979515
97,GCh2,1.3636043810790546
117,GCh22,1.2720734797664184
120,GCh25,1.1037739450679669
56,BCh25,1.0793244050474151
112,GCh17,0.9441928859753679
122,GCh27,0.8475756686576041
60,BCh29,0.6494564407957246
42,BCh11,0.5955867219721582
118,GCh23,0.5912439243415846
110,GCh15,0.5617298843543395
108,GCh13,0.4752635938563632
144,TCh17,0.42306242086634066
121,GCh26,0.3716481046702778
54,BCh23,0.36928363925729335
10,ACh11,0.32746920790642176
24,ACh25,0.3253487993837454
36,BCh5,0.32515468607292886
38,BCh7,0.3188514268032685
79,DCh16,0.31043471342026474
4,ACh5,0.3019293447474365
44,BCh13,0.2953537544558602
154,TCh27,0.29029001174576874
129,TCh2,0.2700005855855967
29,ACh30,0.26379480942642963
155,TCh28,0.2479137930626777
18,ACh19,0.22935607496236793
75,DCh12,0.21866551070575307
141,TCh14,0.21309409148817976
84,DCh21,0.20399990088369407
137,TCh10,0.19908582146597914
132,TCh5,0.1828884494733582
0,ACh1,0.1772426740278658
1,ACh2,0.17493447686480185
95,DCh32,0.1639861093975717
156,TCh29,0.15407074020263475
46,BCh15,0.15391724455842937
69,DCh6,0.1502875087993963
45,BCh14,0.14456104743572698
48,BCh17,0.12845500367378304
135,TCh8,0.12246611966620613
87,DCh24,0.11776066602535085
40,BCh9,0.11520905970909834
149,TCh22,0.11501855498223201
89,DCh26,0.11263850946384912
59,BCh28,0.10535627930482624
55,BCh24,0.10147668636695555
128,TCh1,0.08989350377020813
2,ACh3,0.0897929817664152
159,TCh32,0.0839297688273265
147,TCh20,0.07432676809496608
7,ACh8,0.06149491140394865
21,ACh22,0.06054726557495653
131,TCh4,0.057244339604559394
77,DCh14,0.05665251025265296
94,DCh31,0.05281045140583909
62,BCh31,0.05247841580968435
67,DCh4,0.05082416800855938
19,ACh20,0.044160226787586784
138,TCh11,0.04413364502673124
157,TCh30,0.04230281590883479
14,ACh15,0.04108085787366238
9,ACh10,0.03723237877713034
86,DCh23,0.03595680387225195
140,TCh13,0.03287360600507997
72,DCh9,0.03272935250503894
64,DCh1,0.03266904405354937
70,DCh7,0.03193344297118961
12,ACh13,0.023722060787888334
130,TCh3,0.021160691140558255
136,TCh9,0.015739103503948575
30,ACh31,0.007229228083377663
66,DCh3,0.005581592515736875
27,ACh28,0.0027615095120858933
22,ACh23,0.0014886623268469488
78,DCh15,0.0004166015943514354
17,ACh18,6.275859075306898e-16
145,TCh18,-0.0
113,GCh18,-0.0
81,DCh18,-0.0
49,BCh18,-0.0
39,BCh8,-0.015914276682687623
6,ACh7,-0.029793112455354286
8,ACh9,-0.03254559835611952
61,BCh30,-0.04989697913852768
83,DCh20,-0.05282038178161162
73,DCh10,-0.053003884222364475
28,ACh29,-0.059214447785055746
58,BCh27,-0.05926406488397143
16,ACh17,-0.07174476488683176
26,ACh27,-0.07185140893789138
93,DCh30,-0.07194833190289303
76,DCh13,-0.07202339219988732
85,DCh22,-0.07642079904790566
71,DCh8,-0.07793719900454651
90,DCh27,-0.07814865898044124
23,ACh24,-0.07868896239473452
133,TCh6,-0.08031462698596856
88,DCh25,-0.08040496168879693
134,TCh7,-0.08940075415733231
5,ACh6,-0.09012472745673689
53,BCh22,-0.09319646647668609
104,GCh9,-0.09627698116785222
91,DCh28,-0.10162582432890824
148,TCh21,-0.10205178794301961
51,BCh20,-0.10239961535020844
65,DCh2,-0.10996338319676804
63,BCh32,-0.11577562881145674
92,DCh29,-0.12206686657249208
153,TCh26,-0.1380612056484301
106,GCh11,-0.14139276253773875
80,DCh17,-0.151506573438623
74,DCh11,-0.15228803565795224
31,ACh32,-0.16134613852279867
115,GCh20,-0.1654065998256175
82,DCh19,-0.1689633983568875
15,ACh16,-0.178531446658599
143,TCh16,-0.18185308193359134
32,BCh1,-0.18733529202854382
158,TCh31,-0.19534646405955602
68,DCh5,-0.19640361420934022
50,BCh19,-0.20595583876013124
146,TCh19,-0.213149478461151
13,ACh14,-0.22243266747530932
142,TCh15,-0.22569016762068195
41,BCh10,-0.23182464807881403
3,ACh4,-0.23191658063615916
139,TCh12,-0.23317882389511563
152,TCh25,-0.2390727252030445
114,GCh19,-0.24040429258324214
57,BCh26,-0.2559506034321549
150,TCh23,-0.284499025793128
25,ACh26,-0.29330374425083416
43,BCh12,-0.3093556329840712
33,BCh2,-0.3275366776753846
151,TCh24,-0.37420531755474695
127,GCh32,-0.37975081307905156
124,GCh29,-0.39090301975768804
111,GCh16,-0.4015654506197801
11,ACh12,-0.45945765793945015
34,BCh3,-0.480234967335462
37,BCh6,-0.5140766738575189
105,GCh10,-0.5146010626181302
47,BCh16,-0.5307939159681107
35,BCh4,-0.5414353470860072
20,ACh21,-0.5467229501392568
100,GCh5,-0.5675809742849997
109,GCh14,-0.6115867768141596
52,BCh21,-0.7768303798688028
126,GCh31,-0.7997796368851009
125,GCh30,-0.8175974884837351
101,GCh6,-1.4544809509657428
107,GCh12,-1.5765814683319388
98,GCh3,-2.4788124002359986
102,GCh7,-2.586091903103371
