,alpha,beta,gamma,delta,theta
0,ACh11(0.327),BCh25(1.079),GCh8(2.755),DCh16(0.31),DCh16(0.31)
1,ACh25(0.325),BCh29(0.649),GCh24(2.293),DCh12(0.219),DCh12(0.219)
2,ACh5(0.302),BCh11(0.596),GCh1(1.835),DCh21(0.204),DCh21(0.204)
3,ACh30(0.264),BCh23(0.369),GCh21(1.601),DCh32(0.164),DCh32(0.164)
4,ACh19(0.229),BCh5(0.325),GCh28(1.511),DCh6(0.15),DCh6(0.15)
5,ACh1(0.177),BCh7(0.319),GCh4(1.454),DCh24(0.118),DCh24(0.118)
6,ACh2(0.175),BCh13(0.295),GCh2(1.364),DCh26(0.113),DCh26(0.113)
7,ACh3(0.09),BCh15(0.154),GCh22(1.272),DCh14(0.057),DCh14(0.057)
8,ACh8(0.061),BCh14(0.145),GCh25(1.104),DCh31(0.053),DCh31(0.053)
9,ACh22(0.061),BCh17(0.128),GCh17(0.944),DCh4(0.051),DCh4(0.051)
10,ACh20(0.044),BCh9(0.115),GCh27(0.848),DCh23(0.036),DCh23(0.036)
11,ACh15(0.041),BCh28(0.105),GCh23(0.591),DCh9(0.033),DCh9(0.033)
12,ACh10(0.037),BCh24(0.101),GCh15(0.562),DCh1(0.033),DCh1(0.033)
13,ACh13(0.024),BCh31(0.052),GCh13(0.475),DCh7(0.032),DCh7(0.032)
14,ACh31(0.007),BCh18(-0.0),GCh26(0.372),DCh3(0.006),DCh3(0.006)
15,ACh28(0.003),BCh8(-0.016),GCh18(-0.0),DCh15(0.0),DCh15(0.0)
16,ACh23(0.001),BCh30(-0.05),GCh9(-0.096),DCh18(-0.0),DCh18(-0.0)
17,ACh18(0.0),BCh27(-0.059),GCh11(-0.141),DCh20(-0.053),DCh20(-0.053)
18,ACh7(-0.03),BCh22(-0.093),GCh20(-0.165),DCh10(-0.053),DCh10(-0.053)
19,ACh9(-0.033),BCh20(-0.102),GCh19(-0.24),DCh30(-0.072),DCh30(-0.072)
20,ACh29(-0.059),BCh32(-0.116),GCh32(-0.38),DCh13(-0.072),DCh13(-0.072)
21,ACh17(-0.072),BCh1(-0.187),GCh29(-0.391),DCh22(-0.076),DCh22(-0.076)
22,ACh27(-0.072),BCh19(-0.206),GCh16(-0.402),DCh8(-0.078),DCh8(-0.078)
23,ACh24(-0.079),BCh10(-0.232),GCh10(-0.515),DCh27(-0.078),DCh27(-0.078)
24,ACh6(-0.09),BCh26(-0.256),GCh5(-0.568),DCh25(-0.08),DCh25(-0.08)
25,ACh32(-0.161),BCh12(-0.309),GCh14(-0.612),DCh28(-0.102),DCh28(-0.102)
26,ACh16(-0.179),BCh2(-0.328),GCh31(-0.8),DCh2(-0.11),DCh2(-0.11)
27,ACh14(-0.222),BCh3(-0.48),GCh30(-0.818),DCh29(-0.122),DCh29(-0.122)
28,ACh4(-0.232),BCh6(-0.514),GCh6(-1.454),DCh17(-0.152),DCh17(-0.152)
29,ACh26(-0.293),BCh16(-0.531),GCh12(-1.577),DCh11(-0.152),DCh11(-0.152)
30,ACh12(-0.459),BCh4(-0.541),GCh3(-2.479),DCh19(-0.169),DCh19(-0.169)
31,ACh21(-0.547),BCh21(-0.777),GCh7(-2.586),DCh5(-0.196),DCh5(-0.196)
